"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"69","14","27","18","3","0","77.77","3","caught","2","v New Zealand","Auckland","26 Dec 2013"
"70","1","-","9","0","0","11.11","4","caught","2","v Ireland","Kingston","23 Feb 2014"
"71","2","20","12","0","0","16.66","4","lbw","1","v England","North Sound","28 Feb 2014"
"72","13","56","34","0","1","38.23","4","bowled","1","v England","North Sound","2 Mar 2014"
"73","16","22","20","3","0","80.00","3","caught","2","v England","North Sound","5 Mar 2014"
"74","7","19","14","1","0","50.00","3","caught","2","v Bangladesh","St George's","20 Aug 2014"
"75","53","118","82","2","1","64.63","3","lbw","1","v Bangladesh","St George's","22 Aug 2014"
"76","124","159","127","7","8","97.63","3","caught","1","v Bangladesh","Basseterre","25 Aug 2014"
"77","28","66","45","2","1","62.22","3","caught","1","v India","Kochi","8 Oct 2014"
"78","26","52","44","2","0","59.09","2","bowled","2","v India","Delhi","11 Oct 2014"
"79","40","89","51","6","0","78.43","2","bowled","2","v India","Dharamsala","17 Oct 2014"
"80","0","4","0","0","0","-","3","run out","1","v Ireland","Nelson","16 Feb 2015"
"81","49*","115","78","3","0","62.82","3","retired notout","1","v Pakistan","Christchurch","21 Feb 2015"
"82","38","-","58","3","1","65.51","3","bowled","1","v Sri Lanka","Colombo (RPS)","1 Nov 2015"
"83","21","41","33","1","0","63.63","4","caught","1","v Sri Lanka","Colombo (RPS)","4 Nov 2015"
"84","4","13","7","0","0","57.14","4","bowled","1","v Sri Lanka","Pallekele","7 Nov 2015"
