"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","90","168","107","8","0","84.11","4","run out","1","v India","Napier","25 Mar 1994"
"2","6","41","28","0","0","21.42","4","caught","1","v India","Auckland","27 Mar 1994"
"3","2","8","8","0","0","25.00","5","run out","2","v India","Wellington","30 Mar 1994"
"4","25","51","33","0","0","75.75","4","caught","2","v India","Christchurch","2 Apr 1994"
"5","35","47","47","3","0","74.46","4","caught","1","v Australia","Sharjah","16 Apr 1994"
"6","14","22","16","0","1","87.50","5","caught","1","v Sri Lanka","Sharjah","18 Apr 1994"
"7","1","2","2","0","0","50.00","5","bowled","2","v Pakistan","Sharjah","20 Apr 1994"
"8","17","33","28","2","0","60.71","5","caught","2","v England","Birmingham","19 May 1994"
"9","DNB","-","-","-","-","-","-","-","2","v West Indies","Margao","26 Oct 1994"
"10","33*","41","25","1","1","132.00","5","not out","1","v India","Vadodara","28 Oct 1994"
"11","18","32","42","0","0","42.85","5","caught","2","v West Indies","Guwahati","1 Nov 1994"
"12","56","54","48","8","0","116.66","5","lbw","2","v India","Delhi","3 Nov 1994"
"13","12","43","37","1","0","32.43","2","caught","2","v South Africa","Cape Town","6 Dec 1994"
"14","11","10","10","2","0","110.00","2","bowled","2","v Sri Lanka","Bloemfontein","8 Dec 1994"
"15","0","7","5","0","0","0.00","2","caught","2","v South Africa","Centurion","11 Dec 1994"
"16","4","19","14","0","0","28.57","6","lbw","1","v Pakistan","Port Elizabeth","13 Dec 1994"
"17","5","15","10","0","0","50.00","5","caught","1","v Sri Lanka","East London","18 Dec 1994"
"18","19","36","31","0","0","61.29","5","bowled","1","v Pakistan","East London","19 Dec 1994"
"19","59*","108","60","5","1","98.33","4","not out","2","v India","Napier","16 Feb 1995"
"20","53","73","71","7","0","74.64","4","caught","2","v Australia","Auckland","19 Feb 1995"
"21","21","34","26","2","0","80.76","4","caught","1","v South Africa","Christchurch","23 Feb 1995"
"22","0","6","3","0","0","0.00","4","caught","1","v Australia","Auckland","26 Feb 1995"
"23","46","118","72","2","0","63.88","4","run out","1","v Sri Lanka","Christchurch","26 Mar 1995"
"24","6","11","14","0","0","42.85","4","caught","1","v Sri Lanka","Hamilton","29 Mar 1995"
"25","18","39","21","0","1","85.71","6","bowled","2","v Sri Lanka","Auckland","1 Apr 1995"
"26","78*","123","100","6","0","78.00","4","not out","2","v India","Jamshedpur","15 Nov 1995"
"27","3","15","12","0","0","25.00","4","caught","1","v India","Amritsar","18 Nov 1995"
"28","26","49","39","2","0","66.66","4","caught","1","v India","Pune","24 Nov 1995"
"29","60","65","40","4","1","150.00","4","caught","1","v India","Nagpur","26 Nov 1995"
"30","8","29","17","1","0","47.05","3","caught","1","v India","Mumbai (BS)","29 Nov 1995"
"31","15","28","15","2","0","100.00","4","lbw","2","v Pakistan","Dunedin","15 Dec 1995"
"32","48","76","62","5","0","77.41","4","bowled","2","v Pakistan","Christchurch","17 Dec 1995"
"33","35","68","40","4","0","87.50","4","caught","2","v Pakistan","Wellington","20 Dec 1995"
"34","38","72","45","4","0","84.44","3","caught","1","v Pakistan","Auckland","23 Dec 1995"
"35","2","29","20","0","0","10.00","3","run out","1","v Zimbabwe","Auckland","28 Jan 1996"
"36","70","120","101","10","0","69.30","3","bowled","2","v Zimbabwe","Wellington","31 Jan 1996"
"37","50","97","64","6","0","78.12","3","lbw","2","v Zimbabwe","Napier","3 Feb 1996"
"38","28","73","47","3","0","59.57","3","caught","1","v England","Ahmedabad","14 Feb 1996"
"39","66","97","79","4","0","83.54","3","caught","1","v Netherlands","Vadodara","17 Feb 1996"
"40","33","99","79","2","0","41.77","3","bowled","1","v South Africa","Faisalabad","20 Feb 1996"
"41","16","17","11","4","0","145.45","3","caught","1","v U.A.E.","Faisalabad","27 Feb 1996"
"42","42","63","43","7","0","97.67","4","stumped","2","v Pakistan","Lahore","6 Mar 1996"
"43","8","18","18","0","0","44.44","4","caught","1","v Australia","Chennai","11 Mar 1996"
"44","8","21","11","1","0","72.72","4","bowled","1","v West Indies","Kingston","26 Mar 1996"
"45","106*","176","108","7","1","98.14","4","not out","2","v West Indies","Port of Spain","29 Mar 1996"
"46","4","17","10","0","0","40.00","4","caught","1","v West Indies","Port of Spain","30 Mar 1996"
"47","9","11","8","2","0","112.50","4","caught","1","v West Indies","Georgetown","3 Apr 1996"
"48","75","129","102","6","0","73.52","4","caught","1","v West Indies","Kingstown","6 Apr 1996"
"49","1","18","7","0","0","14.28","4","caught","1","v Sri Lanka","Sharjah","7 Nov 1996"
"50","1","13","9","0","0","11.11","4","lbw","1","v Pakistan","Sharjah","10 Nov 1996"
"51","13","35","22","1","0","59.09","4","bowled","1","v Sri Lanka","Sharjah","11 Nov 1996"
"52","4","24","22","0","0","18.18","5","lbw","2","v Pakistan","Sharjah","15 Nov 1996"
"53","36","63","41","2","0","87.80","4","stumped","2","v Pakistan","Gujranwala","4 Dec 1996"
"54","88","131","95","10","0","92.63","4","caught","2","v Pakistan","Sialkot","6 Dec 1996"
"55","48*","121","60","6","0","80.00","4","not out","2","v Pakistan","Karachi","8 Dec 1996"
"56","34","64","55","1","0","61.81","4","stumped","1","v England","Christchurch","20 Feb 1997"
"57","42","89","74","4","0","56.75","4","caught","1","v England","Auckland","23 Feb 1997"
"58","12","16","17","2","0","70.58","4","run out","1","v England","Napier","26 Feb 1997"
"59","37","73","55","2","0","67.27","4","caught","1","v England","Auckland","2 Mar 1997"
"60","17","50","34","3","0","50.00","3","lbw","1","v England","Wellington","4 Mar 1997"
"61","31","60","42","4","0","73.80","4","run out","1","v Sri Lanka","Christchurch","25 Mar 1997"
"62","9","14","13","0","0","69.23","4","caught","1","v Sri Lanka","Wellington","27 Mar 1997"
"63","9","14","9","1","0","100.00","5","caught","1","v Pakistan","Mohali","9 May 1997"
"64","13","23","22","1","0","59.09","4","run out","1","v India","Bangalore","14 May 1997"
"65","24","80","53","2","0","45.28","4","lbw","2","v Sri Lanka","Hyderabad (Deccan)","20 May 1997"
"66","19","28","25","3","0","76.00","4","caught","2","v Zimbabwe","Bulawayo","1 Oct 1997"
"67","5","22","16","1","0","31.25","4","caught","1","v Zimbabwe","Harare","4 Oct 1997"
"68","62","120","78","4","1","79.48","3","caught","1","v Zimbabwe","Harare","5 Oct 1997"
"69","10","34","20","1","0","50.00","4","caught","1","v South Africa","Adelaide","6 Dec 1997"
"70","61","104","79","4","0","77.21","3","caught","1","v Australia","Adelaide","7 Dec 1997"
"71","32","105","75","1","0","42.66","4","caught","2","v South Africa","Hobart","11 Dec 1997"
"72","6","16","16","1","0","37.50","4","caught","1","v Australia","Melbourne","17 Dec 1997"
"73","2","6","3","0","0","66.66","4","caught","2","v South Africa","Brisbane","9 Jan 1998"
"74","28","93","53","0","0","52.83","4","caught","2","v Australia","Sydney","14 Jan 1998"
"75","26","54","31","0","1","83.87","3","caught","2","v South Africa","Perth","16 Jan 1998"
"76","116*","182","122","8","0","95.08","4","not out","2","v Australia","Melbourne","21 Jan 1998"
"77","26","50","46","4","0","56.52","4","caught","1","v Zimbabwe","Hamilton","4 Feb 1998"
"78","17*","8","11","2","1","154.54","4","not out","2","v Zimbabwe","Wellington","6 Feb 1998"
"79","2","9","6","0","0","33.33","4","caught","1","v Australia","Christchurch","8 Feb 1998"
"80","3","7","10","0","0","30.00","4","run out","2","v Australia","Wellington","10 Feb 1998"
"81","111*","183","137","5","0","81.02","4","not out","2","v Australia","Napier","12 Feb 1998"
"82","13","21","15","1","0","86.66","4","caught","1","v Australia","Auckland","14 Feb 1998"
"83","4","17","19","0","0","21.05","3","bowled","2","v Zimbabwe","Christchurch","4 Mar 1998"
"84","33*","51","46","4","0","71.73","3","not out","2","v Zimbabwe","Napier","6 Mar 1998"
"85","27","45","32","5","0","84.37","3","bowled","1","v Zimbabwe","Auckland","8 Mar 1998"
"86","75","140","97","7","0","77.31","4","caught","2","v India","Sharjah","17 Apr 1998"
"87","59","129","94","3","0","62.76","4","bowled","1","v Australia","Sharjah","18 Apr 1998"
"88","33","69","47","5","0","70.21","3","bowled","2","v India","Sharjah","20 Apr 1998"
"89","20","59","22","3","0","90.90","3","caught","1","v Australia","Sharjah","21 Apr 1998"
"90","47","105","75","2","0","62.66","3","run out","1","v Sri Lanka","Colombo (RPS)","21 Jun 1998"
"91","5","10","13","0","0","38.46","3","caught","1","v India","Colombo (RPS)","23 Jun 1998"
"92","20","29","27","3","0","74.07","3","caught","1","v India","Colombo (SSC)","3 Jul 1998"
"93","20","42","25","3","0","80.00","3","caught","2","v Sri Lanka","Colombo (SSC)","5 Jul 1998"
"94","96","173","130","3","1","73.84","3","bowled","2","v Zimbabwe","Dhaka","24 Oct 1998"
"95","23","42","26","3","0","88.46","3","lbw","1","v Sri Lanka","Dhaka","26 Oct 1998"
"96","DNB","-","-","-","-","-","-","-","2","v India","Taupo","9 Jan 1999"
"97","21","38","26","3","0","80.76","3","caught","1","v South Africa","Napier","25 Mar 1999"
"98","23","49","51","3","0","45.09","4","run out","1","v South Africa","Napier","26 Mar 1999"
"99","5","13","12","1","0","41.66","4","caught","2","v South Africa","Auckland","27 Mar 1999"
"100","TDNB","-","-","-","-","-","-","-","-","v South Africa","Wellington","30 Mar 1999"
"101","16","45","33","2","0","48.48","4","caught","2","v Bangladesh","Chelmsford","17 May 1999"
"102","9","34","20","1","0","45.00","4","bowled","2","v Australia","Cardiff","20 May 1999"
"103","0","23","17","0","0","0.00","4","caught","1","v West Indies","Southampton","24 May 1999"
"104","69","143","100","4","0","69.00","4","caught","2","v Pakistan","Derby","28 May 1999"
"105","7","7","7","1","0","100.00","5","bowled","2","v Scotland","Edinburgh","31 May 1999"
"106","9*","25","17","1","0","52.94","4","not out","2","v Zimbabwe","Leeds","6 Jun 1999"
"107","42","80","64","6","0","65.62","4","caught","2","v South Africa","Birmingham","10 Jun 1999"
"108","15","40","23","3","0","65.21","4","caught","2","v India","Nottingham","12 Jun 1999"
"109","41","93","57","5","0","71.92","4","bowled","1","v Pakistan","Manchester","16 Jun 1999"
"110","10","19","16","1","0","62.50","4","caught","1","v India","Rajkot","5 Nov 1999"
"111","12","24","18","1","0","66.66","5","caught","2","v India","Hyderabad (Deccan)","8 Nov 1999"
"112","27","59","40","2","0","67.50","4","lbw","2","v India","Gwalior","11 Nov 1999"
"113","4","9","8","1","0","50.00","3","caught","1","v India","Guwahati","14 Nov 1999"
"114","22","81","60","1","0","36.66","3","lbw","1","v India","Delhi","17 Nov 1999"
"115","1","9","7","0","0","14.28","3","caught","2","v West Indies","Auckland","2 Jan 2000"
"116","59*","133","88","6","0","67.04","3","not out","2","v West Indies","Taupo","4 Jan 2000"
"117","66*","162","100","5","0","66.00","3","not out","2","v West Indies","Napier","6 Jan 2000"
"118","10","27","18","0","0","55.55","3","caught","2","v West Indies","Wellington","8 Jan 2000"
"119","8","25","18","1","0","44.44","3","caught","1","v West Indies","Christchurch","11 Jan 2000"
"120","TDNB","-","-","-","-","-","-","-","-","v Australia","Wellington","17 Feb 2000"
"121","14","36","24","3","0","58.33","3","caught","1","v Australia","Auckland","19 Feb 2000"
"122","24","18","15","4","1","160.00","3","caught","2","v Australia","Dunedin","23 Feb 2000"
"123","82","115","88","10","1","93.18","3","caught","2","v Australia","Christchurch","26 Feb 2000"
"124","10","14","14","2","0","71.42","3","caught","1","v Australia","Napier","1 Mar 2000"
"125","60*","112","89","8","0","67.41","4","not out","2","v Australia","Auckland","3 Mar 2000"
"126","15","-","16","2","0","93.75","4","caught","2","v Pakistan","Singapore","20 Aug 2000"
"127","12","30","24","1","0","50.00","4","run out","1","v South Africa","Singapore","25 Aug 2000"
"128","DNB","-","-","-","-","-","-","-","2","v Zimbabwe","Harare","27 Sep 2000"
"129","0","3","5","0","0","0.00","1","caught","2","v Zimbabwe","Bulawayo","30 Sep 2000"
"130","11","34","25","0","0","44.00","1","caught","1","v Zimbabwe","Bulawayo","1 Oct 2000"
"131","34","71","50","5","0","68.00","3","run out","1","v Zimbabwe","Nairobi (Gym)","9 Oct 2000"
"132","12","9","11","2","0","109.09","3","caught","2","v Pakistan","Nairobi (Gym)","11 Oct 2000"
"133","5","19","11","0","0","45.45","3","lbw","2","v India","Nairobi (Gym)","15 Oct 2000"
"134","TDNB","-","-","-","-","-","-","-","-","v South Africa","Potchefstroom","20 Oct 2000"
"135","5","28","22","1","0","22.72","3","bowled","1","v South Africa","Benoni","22 Oct 2000"
"136","35","35","26","7","0","134.61","3","caught","2","v South Africa","Centurion","25 Oct 2000"
"137","85","130","103","5","0","82.52","3","run out","1","v South Africa","Kimberley","28 Oct 2000"
"138","21","96","64","3","0","32.81","3","lbw","1","v South Africa","Durban","1 Nov 2000"
"139","8","29","23","1","0","34.78","3","caught","1","v South Africa","Cape Town","4 Nov 2000"
"140","64","111","79","7","0","81.01","3","caught","2","v Zimbabwe","Taupo","2 Jan 2001"
"141","8*","11","5","1","0","160.00","4","not out","2","v Zimbabwe","Wellington","4 Jan 2001"
"142","44","103","68","4","0","64.70","3","caught","1","v Zimbabwe","Auckland","7 Jan 2001"
"143","0","3","2","0","0","0.00","3","lbw","2","v Sri Lanka","Napier","31 Jan 2001"
"144","0","9","3","0","0","0.00","3","caught","1","v Sri Lanka","Wellington","3 Feb 2001"
"145","9","28","22","0","0","40.90","3","caught","1","v Sri Lanka","Auckland","6 Feb 2001"
"146","67","109","75","5","1","89.33","3","caught","1","v Sri Lanka","Hamilton","8 Feb 2001"
"147","40","64","47","6","0","85.10","3","caught","1","v Sri Lanka","Christchurch","11 Feb 2001"
"148","18","96","44","1","0","40.90","3","bowled","1","v Pakistan","Auckland","17 Feb 2001"
"149","28","88","52","4","0","53.84","3","caught","2","v Pakistan","Napier","20 Feb 2001"
"150","1","19","8","0","0","12.50","1","lbw","2","v Pakistan","Wellington","22 Feb 2001"
"151","0","8","4","0","0","0.00","1","bowled","1","v Pakistan","Christchurch","25 Feb 2001"
"152","60","149","92","5","2","65.21","1","bowled","2","v Pakistan","Dunedin","28 Feb 2001"
"153","21","35","24","4","0","87.50","3","caught","2","v Sri Lanka","Colombo (RPS)","18 Jul 2001"
"154","25","77","46","4","0","54.34","3","caught","1","v India","Colombo (RPS)","20 Jul 2001"
"155","6","19","15","1","0","40.00","4","caught","2","v Sri Lanka","Colombo (SSC)","31 Jul 2001"
"156","66","114","91","7","0","72.52","3","stumped","1","v India","Colombo (SSC)","2 Aug 2001"
"157","1","15","11","0","0","9.09","3","caught","1","v Australia","Melbourne","11 Jan 2002"
"158","85","147","112","8","0","75.89","3","caught","2","v South Africa","Hobart","15 Jan 2002"
"159","23","32","22","4","0","104.54","4","caught","2","v South Africa","Brisbane","19 Jan 2002"
"160","13","27","19","0","0","68.42","5","stumped","1","v Australia","Adelaide","26 Jan 2002"
"161","43","113","80","2","0","53.75","4","caught","2","v South Africa","Adelaide","27 Jan 2002"
"162","50","123","94","3","0","53.19","3","run out","1","v Australia","Melbourne","29 Jan 2002"
"163","27","51","37","3","0","72.97","4","caught","2","v South Africa","Perth","1 Feb 2002"
"164","50","111","79","2","0","63.29","3","caught","1","v South Africa","Melbourne","6 Feb 2002"
"165","17","32","17","1","0","100.00","4","caught","1","v South Africa","Sydney","8 Feb 2002"
"166","10","19","15","1","0","66.66","3","caught","2","v England","Christchurch","13 Feb 2002"
"167","40","85","61","4","1","65.57","4","caught","1","v England","Wellington","16 Feb 2002"
"168","76*","188","112","6","0","67.85","3","not out","2","v England","Napier","20 Feb 2002"
"169","8","17","11","1","0","72.72","4","caught","2","v England","Auckland","23 Feb 2002"
"170","1","12","12","0","0","8.33","4","caught","2","v England","Dunedin","26 Feb 2002"
"171","34","48","46","4","0","73.91","4","caught","1","v Sri Lanka","Sharjah","9 Apr 2002"
"172","19","47","34","2","0","55.88","4","bowled","2","v Sri Lanka","Sharjah","14 Apr 2002"
"173","12","48","32","1","0","37.50","5","lbw","1","v Pakistan","Sharjah","15 Apr 2002"
"174","DNB","-","-","-","-","-","-","-","1","v Pakistan","Rawalpindi","24 Apr 2002"
"175","15","49","25","1","0","60.00","4","bowled","2","v Pakistan","Lahore","27 Apr 2002"
"176","0","17","10","0","0","0.00","1","caught","1","v West Indies","Kingston","5 Jun 2002"
"177","89","179","116","8","0","76.72","1","bowled","1","v West Indies","Gros Islet","8 Jun 2002"
"178","34","79","48","3","0","70.83","1","lbw","1","v West Indies","Gros Islet","9 Jun 2002"
"179","4","1","3","1","0","133.33","1","caught","1","v West Indies","Port of Spain","12 Jun 2002"
"180","65","81","77","7","1","84.41","1","bowled","1","v West Indies","Kingstown","16 Jun 2002"
"181","12","13","12","3","0","100.00","1","lbw","2","v Australia","Colombo (SSC)","15 Sep 2002"
"182","31","64","40","5","0","77.50","1","caught","1","v Bangladesh","Colombo (SSC)","23 Sep 2002"
"183","12","54","37","0","0","32.43","1","lbw","2","v India","Auckland","26 Dec 2002"
"184","1","14","6","0","0","16.66","1","caught","1","v India","Napier","29 Dec 2002"
"185","4","34","28","0","0","14.28","1","caught","2","v India","Christchurch","1 Jan 2003"
"186","47","92","59","5","1","79.66","1","caught","2","v India","Queenstown","4 Jan 2003"
"187","19","74","41","2","0","46.34","1","caught","1","v India","Wellington","8 Jan 2003"
"188","14","42","32","1","0","43.75","1","caught","1","v India","Auckland","11 Jan 2003"
"189","60*","139","92","8","0","65.21","1","not out","2","v India","Hamilton","14 Jan 2003"
"190","1","9","4","0","0","25.00","1","caught","2","v Sri Lanka","Bloemfontein","10 Feb 2003"
"191","25","29","25","4","1","100.00","1","caught","1","v West Indies","Port Elizabeth","13 Feb 2003"
"192","134*","158","132","21","0","101.51","2","not out","2","v South Africa","Johannesburg","16 Feb 2003"
"193","32","58","40","4","1","80.00","2","caught","2","v Bangladesh","Kimberley","26 Feb 2003"
"194","5","7","2","1","0","250.00","2","run out","2","v Canada","Benoni","3 Mar 2003"
"195","46","65","42","10","0","109.52","2","lbw","2","v Zimbabwe","Bloemfontein","8 Mar 2003"
"196","48","116","70","7","0","68.57","2","caught","2","v Australia","Port Elizabeth","11 Mar 2003"
"197","30","85","59","4","0","50.84","2","caught","1","v India","Centurion","14 Mar 2003"
"198","21","70","43","0","1","48.83","2","caught","2","v Pakistan","Dambulla","11 May 2003"
"199","2","6","4","0","0","50.00","2","caught","1","v Sri Lanka","Dambulla","13 May 2003"
"200","16","90","58","0","1","27.58","2","lbw","1","v Sri Lanka","Dambulla","19 May 2003"
"201","17","45","30","1","1","56.66","2","caught","2","v Pakistan","Dambulla","20 May 2003"
"202","65","140","111","5","3","58.55","2","caught","2","v Pakistan","Dambulla","23 May 2003"
"203","TDNB","-","-","-","-","-","-","-","-","v India","Chennai","23 Oct 2003"
"204","2","24","17","0","0","11.76","2","caught","1","v Australia","Faridabad","29 Oct 2003"
"205","40","150","96","4","0","41.66","2","caught","1","v Australia","Pune","3 Nov 2003"
"206","24","27","14","5","0","171.42","2","lbw","2","v India","Cuttack","6 Nov 2003"
"207","29","71","46","6","0","63.04","2","caught","2","v Australia","Guwahati","9 Nov 2003"
"208","45","115","86","5","0","52.32","2","caught","2","v Pakistan","Auckland","3 Jan 2004"
"209","43","101","69","6","0","62.31","2","caught","1","v Pakistan","Queenstown","7 Jan 2004"
"210","115*","213","135","13","0","85.18","2","not out","2","v Pakistan","Christchurch","10 Jan 2004"
"211","29","69","43","4","0","67.44","2","caught","2","v Pakistan","Napier","14 Jan 2004"
"212","16","39","22","2","0","72.72","2","caught","1","v Pakistan","Wellington","17 Jan 2004"
"213","30","46","35","3","1","85.71","2","run out","1","v South Africa","Auckland","13 Feb 2004"
"214","108","187","115","10","2","93.91","2","caught","2","v South Africa","Christchurch","17 Feb 2004"
"215","43","-","45","4","2","95.55","2","caught","1","v South Africa","Wellington","20 Feb 2004"
"216","51","102","56","5","1","91.07","2","caught","2","v South Africa","Dunedin","25 Feb 2004"
"217","0","5","1","0","0","0.00","2","caught","1","v South Africa","Auckland","29 Feb 2004"
"218","32","58","45","4","0","71.11","2","run out","2","v South Africa","Napier","2 Mar 2004"
"219","12","14","10","1","1","120.00","1","caught","2","v West Indies","Birmingham","26 Jun 2004"
"220","31","40","34","5","0","91.17","1","caught","2","v England","Chester-le-Street","29 Jun 2004"
"221","45","118","62","4","1","72.58","1","caught","2","v West Indies","Cardiff","3 Jul 2004"
"222","99","198","126","10","1","78.57","1","caught","2","v England","Bristol","4 Jul 2004"
"223","TDNB","-","-","-","-","-","-","-","-","v West Indies","Southampton","8 Jul 2004"
"224","67","101","66","9","0","101.51","1","caught","1","v West Indies","Lord's","10 Jul 2004"
"225","15","19","22","3","0","68.18","1","caught","1","v U.S.A.","The Oval","10 Sep 2004"
"226","29","60","51","5","0","56.86","1","caught","1","v Australia","The Oval","16 Sep 2004"
"227","0","1","2","0","0","0.00","1","lbw","2","v Australia","Melbourne (Docklands)","5 Dec 2004"
"228","34","92","44","3","0","77.27","1","lbw","2","v Australia","Sydney","8 Dec 2004"
"229","77*","136","92","8","2","83.69","1","not out","2","v Sri Lanka","Auckland","26 Dec 2004"
"230","30","31","28","1","0","107.14","7","bowled","1","v Asia XI","Melbourne","10 Jan 2005"
"231","5","17","10","0","0","50.00","1","lbw","2","v Australia","Wellington","19 Feb 2005"
"232","1","5","4","0","0","25.00","1","caught","2","v Australia","Christchurch","22 Feb 2005"
"233","1","10","6","0","0","16.66","1","bowled","2","v Australia","Auckland","26 Feb 2005"
"234","37","72","53","3","1","69.81","1","caught","1","v Australia","Wellington","1 Mar 2005"
"235","35","60","46","4","0","76.08","2","caught","2","v Australia","Napier","5 Mar 2005"
