"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","39*","57","47","3","0","82.97","6","not out","2","v England","Adelaide","19 Jan 2003"
"2","75*","-","100","5","0","75.00","5","not out","1","v West Indies","Gros Islet","21 May 2003"
"3","55*","-","40","6","1","137.50","5","not out","1","v West Indies","Port of Spain","24 May 2003"
"4","39","-","53","3","0","73.58","5","caught","2","v West Indies","Port of Spain","25 May 2003"
"5","1","-","4","0","0","25.00","6","stumped","1","v West Indies","St George's","1 Jun 2003"
"6","2","3","2","0","0","100.00","7","run out","1","v India","Mumbai","1 Nov 2003"
"7","70","96","80","8","1","87.50","5","bowled","2","v New Zealand","Pune","3 Nov 2003"
"8","2","8","15","0","0","13.33","7","caught","1","v New Zealand","Guwahati","9 Nov 2003"
"9","DNB","-","-","-","-","-","-","-","1","v India","Bangalore","12 Nov 2003"
"10","44*","39","28","4","0","157.14","7","not out","1","v India","Kolkata","18 Nov 2003"
"11","63","89","66","6","1","95.45","6","caught","1","v India","Melbourne","9 Jan 2004"
"12","40","-","57","1","0","70.17","7","caught","1","v Zimbabwe","Sydney","11 Jan 2004"
"13","0","3","2","0","0","0.00","7","caught","1","v Zimbabwe","Hobart","16 Jan 2004"
"14","42","59","45","3","0","93.33","6","caught","2","v India","Brisbane","18 Jan 2004"
"15","21","33","20","1","0","105.00","7","caught","2","v India","Sydney","22 Jan 2004"
"16","36","64","49","1","0","73.46","5","run out","1","v Zimbabwe","Adelaide","26 Jan 2004"
"17","11","15","9","2","0","122.22","4","bowled","1","v Zimbabwe","Melbourne","29 Jan 2004"
"18","2","12","8","0","0","25.00","4","caught","2","v India","Perth","1 Feb 2004"
"19","DNB","-","-","-","-","-","-","-","2","v India","Melbourne","6 Feb 2004"
"20","33*","44","20","3","0","165.00","6","not out","1","v India","Sydney","8 Feb 2004"
"21","0","2","3","0","0","0.00","7","lbw","1","v Sri Lanka","Dambulla","20 Feb 2004"
"22","0","3","3","0","0","0.00","1","caught","2","v Sri Lanka","Dambulla","22 Feb 2004"
"23","31*","41","36","1","1","86.11","7","not out","2","v Sri Lanka","Colombo (RPS)","25 Feb 2004"
"24","36","49","32","2","0","112.50","7","caught","1","v Sri Lanka","Colombo (RPS)","27 Feb 2004"
"25","16","67","47","1","0","34.04","3","caught","1","v Sri Lanka","Colombo (SSC)","29 Feb 2004"
"26","5*","17","18","1","0","27.77","5","not out","2","v Zimbabwe","Harare","25 May 2004"
"27","16","14","11","3","0","145.45","3","bowled","1","v Zimbabwe","Harare","27 May 2004"
"28","105*","133","102","16","1","102.94","2","not out","2","v Zimbabwe","Harare","29 May 2004"
"29","42","38","28","6","0","150.00","7","caught","1","v India","Amstelveen","23 Aug 2004"
"30","1","2","2","0","0","50.00","7","caught","1","v Pakistan","Amstelveen","28 Aug 2004"
"31","31","54","31","4","0","100.00","7","caught","1","v Pakistan","Lord's","4 Sep 2004"
"32","DNB","-","-","-","-","-","-","-","2","v U.S.A.","Southampton","13 Sep 2004"
"33","DNB","-","-","-","-","-","-","-","2","v New Zealand","The Oval","16 Sep 2004"
"34","42","46","34","5","0","123.52","7","bowled","1","v England","Birmingham","21 Sep 2004"
"35","36","65","49","2","0","73.46","7","bowled","1","v New Zealand","Melbourne (Docklands)","5 Dec 2004"
"36","6","23","17","0","0","35.29","7","caught","1","v New Zealand","Sydney","8 Dec 2004"
"37","66","91","77","8","0","85.71","2","bowled","1","v West Indies","Melbourne","14 Jan 2005"
"38","97","132","99","12","1","97.97","1","caught","2","v Pakistan","Hobart","16 Jan 2005"
"39","2","-","10","0","0","20.00","6","caught","2","v West Indies","Brisbane","21 Jan 2005"
"40","103*","-","107","14","1","96.26","1","not out","2","v Pakistan","Sydney","23 Jan 2005"
"41","21","-","16","3","0","131.25","1","bowled","1","v West Indies","Adelaide","26 Jan 2005"
"42","75*","-","75","5","1","100.00","6","not out","1","v Pakistan","Perth","30 Jan 2005"
"43","9","-","22","1","0","40.90","2","lbw","1","v Pakistan","Melbourne","4 Feb 2005"
"44","38","96","75","2","0","50.66","2","bowled","1","v Pakistan","Sydney","6 Feb 2005"
"45","0","2","5","0","0","0.00","6","caught","1","v New Zealand","Wellington","19 Feb 2005"
