"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","DNB","-","-","-","-","-","-","-","2","v Kenya","Nairobi (Aga)","2 Oct 1996"
"2","102","50","40","6","11","255.00","3","caught","1","v Sri Lanka","Nairobi (Gym)","4 Oct 1996"
"3","14","13","9","2","0","155.55","3","caught","1","v South Africa","Nairobi (Gym)","6 Oct 1996"
"4","28","-","17","5","0","164.70","2","caught","2","v Zimbabwe","Quetta","30 Oct 1996"
"5","66","-","37","8","4","178.37","2","bowled","2","v Zimbabwe","Lahore","1 Nov 1996"
"6","0","-","1","0","0","0.00","1","caught","1","v Zimbabwe","Peshawar","3 Nov 1996"
"7","7","-","11","1","0","63.63","2","caught","2","v Sri Lanka","Sharjah","8 Nov 1996"
"8","20","-","18","1","1","111.11","3","bowled","2","v New Zealand","Sharjah","10 Nov 1996"
"9","DNB","-","-","-","-","-","-","-","2","v Sri Lanka","Sharjah","12 Nov 1996"
"10","3","5","8","0","0","37.50","7","bowled","2","v New Zealand","Sharjah","13 Nov 1996"
"11","21","20","16","2","1","131.25","3","caught","1","v New Zealand","Sharjah","15 Nov 1996"
"12","16","11","8","1","1","200.00","8","caught","1","v New Zealand","Gujranwala","4 Dec 1996"
"13","2","6","8","0","0","25.00","6","bowled","1","v New Zealand","Sialkot","6 Dec 1996"
"14","DNB","-","-","-","-","-","-","-","1","v New Zealand","Karachi","8 Dec 1996"
"15","6","11","6","0","0","100.00","8","caught","1","v Australia","Adelaide","15 Dec 1996"
"16","3","7","14","0","0","21.42","6","caught","1","v West Indies","Adelaide","17 Dec 1996"
"17","34","39","27","6","0","125.92","2","caught","2","v Australia","Sydney","1 Jan 1997"
"18","2","9","5","0","0","40.00","2","caught","1","v West Indies","Brisbane","3 Jan 1997"
"19","3","11","12","0","0","25.00","9","caught","1","v Australia","Hobart","7 Jan 1997"
"20","29","17","19","2","2","152.63","5","stumped","1","v West Indies","Perth","10 Jan 1997"
"21","29","60","43","1","0","67.44","8","caught","1","v Australia","Melbourne","16 Jan 1997"
