"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","25","23","23","2","0","108.69","6","caught","1","v West Indies","Auckland","22 Jan 1995"
"2","11","45","32","0","0","34.37","6","caught","2","v West Indies","Wellington","25 Jan 1995"
"3","9","36","26","0","0","34.61","7","caught","1","v West Indies","Christchurch","28 Jan 1995"
"4","95","173","137","9","1","69.34","2","bowled","1","v Sri Lanka","Hamilton","29 Mar 1995"
"5","35","85","61","1","0","57.37","3","bowled","2","v Sri Lanka","Auckland","1 Apr 1995"
"6","7","12","8","1","0","87.50","2","lbw","2","v India","Jamshedpur","15 Nov 1995"
"7","59","133","86","5","0","68.60","2","lbw","1","v India","Amritsar","18 Nov 1995"
"8","11","55","34","1","0","32.35","2","run out","1","v India","Pune","24 Nov 1995"
"9","114","188","128","12","1","89.06","2","caught","1","v India","Nagpur","26 Nov 1995"
"10","9","21","13","1","0","69.23","2","caught","1","v India","Mumbai (BS)","29 Nov 1995"
"11","5","8","7","0","0","71.42","2","caught","2","v Pakistan","Dunedin","15 Dec 1995"
"12","5","24","14","0","0","35.71","2","caught","2","v Pakistan","Christchurch","17 Dec 1995"
"13","9","34","19","1","0","47.36","2","caught","2","v Pakistan","Wellington","20 Dec 1995"
"14","20*","31","14","4","0","142.85","7","not out","1","v Pakistan","Auckland","23 Dec 1995"
"15","120","182","137","13","1","87.59","2","caught","1","v Zimbabwe","Auckland","28 Jan 1996"
"16","18","59","27","1","0","66.66","2","bowled","2","v Zimbabwe","Wellington","31 Jan 1996"
"17","30","56","37","1","2","81.08","2","caught","2","v Zimbabwe","Napier","3 Feb 1996"
"18","101","172","132","8","2","76.51","2","caught","1","v England","Ahmedabad","14 Feb 1996"
"19","0","5","5","0","0","0.00","2","run out","1","v Netherlands","Vadodara","17 Feb 1996"
"20","1","7","4","0","0","25.00","2","run out","1","v South Africa","Faisalabad","20 Feb 1996"
"21","2","11","2","0","0","100.00","2","bowled","1","v U.A.E.","Faisalabad","27 Feb 1996"
"22","6","23","17","1","0","35.29","2","caught","2","v Pakistan","Lahore","6 Mar 1996"
"23","1","10","6","0","0","16.66","2","caught","1","v Australia","Chennai","11 Mar 1996"
"24","41","52","46","4","0","89.13","2","caught","1","v West Indies","Kingston","26 Mar 1996"
"25","2","18","12","0","0","16.66","2","caught","2","v West Indies","Port of Spain","29 Mar 1996"
"26","43","102","85","4","0","50.58","3","run out","1","v West Indies","Port of Spain","30 Mar 1996"
"27","20","33","16","3","0","125.00","2","lbw","1","v West Indies","Georgetown","3 Apr 1996"
"28","4","13","15","1","0","26.66","2","caught","1","v West Indies","Kingstown","6 Apr 1996"
"29","0","16","7","0","0","0.00","2","caught","1","v Sri Lanka","Sharjah","7 Nov 1996"
"30","0","5","1","0","0","0.00","2","bowled","1","v Pakistan","Sharjah","10 Nov 1996"
"31","66","165","130","3","1","50.76","2","caught","1","v Sri Lanka","Sharjah","11 Nov 1996"
"32","6","21","11","0","0","54.54","4","caught","1","v Pakistan","Sharjah","13 Nov 1996"
"33","8","15","14","1","0","57.14","4","caught","2","v Pakistan","Sharjah","15 Nov 1996"
"34","11","21","8","0","1","137.50","6","caught","2","v Pakistan","Gujranwala","4 Dec 1996"
"35","20","47","31","0","1","64.51","6","caught","2","v Pakistan","Sialkot","6 Dec 1996"
"36","60","67","69","5","1","86.95","2","run out","2","v Pakistan","Karachi","8 Dec 1996"
"37","50","84","62","6","0","80.64","2","caught","1","v England","Christchurch","20 Feb 1997"
"38","4","18","14","0","0","28.57","2","caught","1","v England","Auckland","23 Feb 1997"
"39","34","35","32","7","0","106.25","2","caught","1","v England","Napier","26 Feb 1997"
"40","51","110","68","5","0","75.00","2","caught","1","v England","Auckland","2 Mar 1997"
"41","94","184","129","10","0","72.86","2","caught","1","v England","Wellington","4 Mar 1997"
"42","23","34","36","3","0","63.88","2","caught","1","v Sri Lanka","Christchurch","25 Mar 1997"
"43","12","17","17","1","0","70.58","2","caught","1","v Sri Lanka","Wellington","27 Mar 1997"
"44","117","171","132","9","2","88.63","2","stumped","1","v Pakistan","Mohali","9 May 1997"
"45","92","133","111","10","0","82.88","2","bowled","1","v India","Bangalore","14 May 1997"
"46","9","31","18","1","0","50.00","2","caught","2","v Sri Lanka","Hyderabad (Deccan)","20 May 1997"
"47","5","22","16","0","0","31.25","2","caught","2","v Zimbabwe","Bulawayo","1 Oct 1997"
"48","36","75","50","6","1","72.00","2","bowled","1","v Zimbabwe","Harare","4 Oct 1997"
"49","33","36","37","7","0","89.18","1","caught","1","v Zimbabwe","Harare","5 Oct 1997"
"50","0","12","8","0","0","0.00","2","run out","1","v South Africa","Adelaide","6 Dec 1997"
"51","66","120","84","5","1","78.57","2","caught","1","v Australia","Adelaide","7 Dec 1997"
"52","1","9","4","0","0","25.00","2","caught","2","v South Africa","Hobart","11 Dec 1997"
"53","20","64","33","1","0","60.60","2","caught","1","v Australia","Melbourne","17 Dec 1997"
"54","29","81","45","2","0","64.44","2","caught","2","v South Africa","Brisbane","9 Jan 1998"
"55","18","44","42","1","0","42.85","5","caught","2","v South Africa","Perth","16 Jan 1998"
"56","13","34","21","0","0","61.90","2","caught","2","v Australia","Melbourne","21 Jan 1998"
"57","49","105","67","6","1","73.13","2","caught","1","v Zimbabwe","Hamilton","4 Feb 1998"
"58","67","105","89","8","2","75.28","2","run out","2","v Zimbabwe","Wellington","6 Feb 1998"
"59","23","36","34","5","0","67.64","2","bowled","1","v Australia","Christchurch","8 Feb 1998"
"60","37","65","55","4","1","67.27","2","stumped","2","v Australia","Wellington","10 Feb 1998"
"61","55","109","93","4","1","59.13","2","run out","2","v Australia","Napier","12 Feb 1998"
"62","20","35","27","0","1","74.07","2","caught","1","v Australia","Auckland","14 Feb 1998"
"63","69","130","99","8","0","69.69","2","caught","2","v Zimbabwe","Christchurch","4 Mar 1998"
"64","104*","166","137","2","3","75.91","2","not out","2","v Zimbabwe","Napier","6 Mar 1998"
"65","62","126","84","3","2","73.80","2","caught","1","v Zimbabwe","Auckland","8 Mar 1998"
"66","24","33","26","4","0","92.30","2","caught","2","v India","Sharjah","17 Apr 1998"
"67","7","15","10","1","0","70.00","2","run out","1","v Australia","Sharjah","18 Apr 1998"
"68","14","19","20","0","1","70.00","2","caught","2","v India","Sharjah","20 Apr 1998"
"69","78","166","125","6","1","62.40","2","caught","1","v Australia","Sharjah","21 Apr 1998"
"70","33","96","60","1","1","55.00","2","bowled","1","v Sri Lanka","Colombo (RPS)","21 Jun 1998"
"71","81","157","119","6","1","68.06","2","caught","1","v India","Colombo (RPS)","23 Jun 1998"
"72","15","24","13","3","0","115.38","2","caught","1","v India","Colombo (SSC)","3 Jul 1998"
"73","74","113","76","7","3","97.36","2","caught","2","v Sri Lanka","Colombo (SSC)","5 Jul 1998"
"74","9","42","28","0","0","32.14","2","run out","2","v Zimbabwe","Dhaka","24 Oct 1998"
"75","10","16","9","2","0","111.11","2","caught","1","v Sri Lanka","Dhaka","26 Oct 1998"
"76","95","184","118","8","2","80.50","2","bowled","2","v South Africa","Dunedin","14 Feb 1999"
"77","1","7","3","0","0","33.33","2","caught","1","v South Africa","Christchurch","17 Feb 1999"
"78","100*","192","126","12","2","79.36","2","not out","2","v South Africa","Auckland","20 Feb 1999"
"79","38","74","49","6","0","77.55","2","caught","1","v South Africa","Napier","25 Mar 1999"
"80","18","44","25","3","0","72.00","2","caught","1","v South Africa","Napier","26 Mar 1999"
"81","4","18","10","0","0","40.00","2","caught","2","v South Africa","Auckland","27 Mar 1999"
"82","TDNB","-","-","-","-","-","-","-","-","v South Africa","Wellington","30 Mar 1999"
"83","4","8","5","1","0","80.00","2","caught","2","v Bangladesh","Chelmsford","17 May 1999"
"84","4","25","8","0","0","50.00","2","caught","2","v Australia","Cardiff","20 May 1999"
"85","2","6","6","0","0","33.33","2","caught","1","v West Indies","Southampton","24 May 1999"
"86","0","7","6","0","0","0.00","2","caught","2","v Pakistan","Derby","28 May 1999"
"87","11","12","10","1","0","110.00","2","caught","2","v Scotland","Edinburgh","31 May 1999"
"88","20","41","28","4","0","71.42","2","caught","2","v Zimbabwe","Leeds","6 Jun 1999"
"89","9","50","32","1","0","28.12","2","caught","2","v South Africa","Birmingham","10 Jun 1999"
"90","26","41","27","4","0","96.29","2","caught","2","v India","Nottingham","12 Jun 1999"
"91","3","24","18","0","0","16.66","2","bowled","1","v Pakistan","Manchester","16 Jun 1999"
"92","120","202","136","12","2","88.23","2","caught","1","v India","Rajkot","5 Nov 1999"
"93","9","25","11","0","0","81.81","2","caught","2","v India","Hyderabad (Deccan)","8 Nov 1999"
"94","97","160","111","8","1","87.38","2","bowled","2","v India","Gwalior","11 Nov 1999"
"95","1","16","4","0","0","25.00","2","lbw","1","v India","Guwahati","14 Nov 1999"
"96","7","18","10","1","0","70.00","2","lbw","1","v India","Delhi","17 Nov 1999"
"97","77","160","101","7","1","76.23","2","bowled","2","v West Indies","Auckland","2 Jan 2000"
"98","32","35","25","4","1","128.00","2","caught","2","v West Indies","Taupo","4 Jan 2000"
"99","50","94","63","8","0","79.36","2","caught","2","v West Indies","Napier","6 Jan 2000"
"100","76*","156","99","9","0","76.76","2","not out","2","v West Indies","Wellington","8 Jan 2000"
"101","85","175","109","8","1","77.98","2","caught","1","v West Indies","Christchurch","11 Jan 2000"
"102","TDNB","-","-","-","-","-","-","-","-","v Australia","Wellington","17 Feb 2000"
"103","0","6","1","0","0","0.00","2","caught","1","v Australia","Auckland","19 Feb 2000"
"104","81","127","83","11","1","97.59","2","bowled","2","v Australia","Dunedin","23 Feb 2000"
"105","45","82","45","7","0","100.00","2","lbw","2","v Australia","Christchurch","26 Feb 2000"
"106","104","186","128","9","2","81.25","1","caught","1","v Australia","Napier","1 Mar 2000"
"107","12","10","6","3","0","200.00","2","bowled","2","v Australia","Auckland","3 Mar 2000"
"108","15","-","16","2","0","93.75","2","bowled","2","v Pakistan","Singapore","20 Aug 2000"
"109","5","19","9","0","0","55.55","2","bowled","1","v South Africa","Singapore","25 Aug 2000"
"110","10","23","19","2","0","52.63","2","run out","2","v Zimbabwe","Harare","27 Sep 2000"
"111","12","48","22","2","0","54.54","2","caught","2","v Zimbabwe","Bulawayo","30 Sep 2000"
"112","35","84","50","6","0","70.00","2","caught","1","v Zimbabwe","Bulawayo","1 Oct 2000"
"113","0","7","4","0","0","0.00","2","caught","1","v Zimbabwe","Nairobi (Gym)","9 Oct 2000"
