"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","4","-","7","1","0","57.14","2","run out","1","v Australia","Dubai (DSC)","24 Apr 2009"
"2","40","-","61","5","0","65.57","2","bowled","2","v Australia","Abu Dhabi","27 Apr 2009"
"3","43","-","81","2","0","53.08","2","caught","1","v Australia","Abu Dhabi","1 May 2009"
"4","19","-","52","1","0","36.53","1","lbw","2","v Australia","Abu Dhabi","3 May 2009"
"5","25*","20","16","4","1","156.25","2","not out","1","v New Zealand","Queenstown","26 Jan 2011"
"6","0","6","3","0","0","0.00","2","caught","1","v New Zealand","Christchurch","29 Jan 2011"
"7","42","61","42","6","1","100.00","2","caught","2","v New Zealand","Napier","1 Feb 2011"
"8","115","156","109","12","3","105.50","2","caught","1","v New Zealand","Hamilton","3 Feb 2011"
"9","6","13","12","1","0","50.00","2","caught","2","v New Zealand","Auckland","5 Feb 2011"
"10","1","32","18","0","0","5.55","2","caught","1","v Kenya","Hambantota","23 Feb 2011"
"11","13","24","23","2","0","56.52","1","caught","1","v Sri Lanka","Colombo (RPS)","26 Feb 2011"
"12","12","48","23","2","0","52.17","2","caught","1","v Canada","Colombo (RPS)","3 Mar 2011"
"13","10","29","16","1","0","62.50","2","lbw","2","v New Zealand","Pallekele","8 Mar 2011"
"14","8","18","11","2","0","72.72","2","stumped","2","v Zimbabwe","Pallekele","14 Mar 2011"
"15","22","48","39","4","0","56.41","2","stumped","2","v West Indies","Gros Islet","23 Apr 2011"
"16","102","188","148","7","1","68.91","2","stumped","2","v West Indies","Gros Islet","25 Apr 2011"
"17","0","5","1","0","0","0.00","2","caught","2","v West Indies","Bridgetown","28 Apr 2011"
"18","6","10","11","1","0","54.54","2","caught","1","v West Indies","Bridgetown","2 May 2011"
"19","9","39","33","1","0","27.27","3","bowled","1","v West Indies","Providence","5 May 2011"
"20","5","12","12","1","0","41.66","2","bowled","1","v West Indies","Providence","14 Jul 2013"
"21","19","38","33","1","1","57.57","2","caught","2","v West Indies","Providence","16 Jul 2013"
"22","17","48","44","2","0","38.63","1","caught","1","v West Indies","Gros Islet","19 Jul 2013"
"23","14","17","14","2","0","100.00","2","lbw","2","v West Indies","Gros Islet","21 Jul 2013"
"24","64","124","100","8","0","64.00","2","caught","2","v West Indies","Gros Islet","24 Jul 2013"
"25","24","61","47","2","0","51.06","2","stumped","1","v Zimbabwe","Harare","27 Aug 2013"
"26","5","14","9","1","0","55.55","2","caught","1","v Zimbabwe","Harare","29 Aug 2013"
"27","54","135","85","3","0","63.52","2","caught","1","v Zimbabwe","Harare","31 Aug 2013"
"28","58","127","92","5","0","63.04","2","caught","2","v South Africa","Sharjah","30 Oct 2013"
"29","58","126","85","4","0","68.23","2","caught","1","v South Africa","Dubai (DSC)","1 Nov 2013"
"30","32","36","24","7","0","133.33","2","caught","2","v South Africa","Abu Dhabi","6 Nov 2013"
"31","43","80","59","5","1","72.88","1","run out","2","v South Africa","Abu Dhabi","8 Nov 2013"
"32","2","15","13","0","0","15.38","2","caught","2","v South Africa","Sharjah","11 Nov 2013"
"33","35","101","70","3","0","50.00","2","caught","1","v South Africa","Cape Town","24 Nov 2013"
"34","102","148","112","8","2","91.07","2","run out","1","v South Africa","Port Elizabeth","27 Nov 2013"
"35","0","3","3","0","0","0.00","2","caught","1","v South Africa","Centurion","30 Nov 2013"
"36","11","27","22","1","0","50.00","2","lbw","1","v Sri Lanka","Sharjah","18 Dec 2013"
"37","124","189","140","8","0","88.57","2","lbw","1","v Sri Lanka","Dubai (DSC)","20 Dec 2013"
"38","81","122","89","6","2","91.01","2","run out","1","v Sri Lanka","Sharjah","22 Dec 2013"
"39","44","90","56","5","0","78.57","2","caught","2","v Sri Lanka","Abu Dhabi","25 Dec 2013"
"40","17","23","16","2","1","106.25","2","caught","1","v Sri Lanka","Abu Dhabi","27 Dec 2013"
"41","28","62","37","4","0","75.67","2","bowled","2","v Sri Lanka","Fatullah","25 Feb 2014"
"42","50","97","74","7","0","67.56","2","bowled","1","v Afghanistan","Fatullah","27 Feb 2014"
"43","42","64","44","6","0","95.45","2","caught","2","v India","Dhaka","2 Mar 2014"
"44","103","152","123","12","1","83.73","1","bowled","2","v Bangladesh","Dhaka","4 Mar 2014"
"45","5","18","7","1","0","71.42","2","caught","1","v Sri Lanka","Dhaka","8 Mar 2014"
"46","49","93","61","5","0","80.32","1","bowled","2","v Sri Lanka","Hambantota","23 Aug 2014"
"47","56","114","80","6","0","70.00","1","caught","2","v Sri Lanka","Hambantota","26 Aug 2014"
"48","10","32","21","1","0","47.61","1","caught","1","v Sri Lanka","Dambulla","30 Aug 2014"
"49","4","11","10","0","0","40.00","1","caught","2","v Australia","Sharjah","7 Oct 2014"
"50","61","107","82","5","0","74.39","1","caught","1","v Australia","Dubai (DSC)","10 Oct 2014"
"51","26","46","41","3","0","63.41","1","bowled","2","v Australia","Abu Dhabi","12 Oct 2014"
"52","28","54","41","5","0","68.29","2","lbw","2","v New Zealand","Dubai (DSC)","8 Dec 2014"
"53","0","3","5","0","0","0.00","2","caught","1","v New Zealand","Sharjah","12 Dec 2014"
"54","113","159","120","12","2","94.16","2","caught","1","v New Zealand","Sharjah","14 Dec 2014"
"55","0","2","2","0","0","0.00","2","bowled","2","v New Zealand","Abu Dhabi","17 Dec 2014"
