"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","35","56","49","2","0","71.42","6","stumped","1","v Zimbabwe","Bulawayo","11 Dec 1999"
"2","6","24","18","1","0","33.33","6","bowled","1","v Zimbabwe","Bulawayo","12 Dec 1999"
"3","27","53","30","2","0","90.00","6","bowled","1","v Zimbabwe","Harare","15 Dec 1999"
"4","20*","46","31","2","0","64.51","6","not out","2","v Zimbabwe","Harare","18 Dec 1999"
"5","53","90","73","3","0","72.60","6","caught","1","v Zimbabwe","Harare","19 Dec 1999"
"6","34","-","33","3","0","103.03","6","bowled","1","v Pakistan","Karachi","13 Feb 2000"
"7","0*","-","0","0","0","-","8","not out","1","v Pakistan","Gujranwala","16 Feb 2000"
"8","17","-","29","0","0","58.62","6","caught","1","v Pakistan","Lahore","19 Feb 2000"
"9","1","6","5","0","0","20.00","7","caught","1","v India","Dhaka","1 Jun 2000"
"10","16","-","30","0","0","53.33","7","caught","1","v Zimbabwe","Sharjah","25 Oct 2000"
"11","DNB","-","-","-","-","-","-","-","1","v India","Sharjah","27 Oct 2000"
"12","DNB","-","-","-","-","-","-","-","1","v India","Sharjah","29 Oct 2000"
"13","18","36","22","2","0","81.81","7","run out","1","v South Africa","Port Elizabeth","15 Dec 2000"
"14","3*","-","2","0","0","150.00","8","not out","1","v Pakistan","Sharjah","20 Apr 2001"
"15","2","10","12","0","0","16.66","6","caught","1","v New Zealand","Sharjah","14 Apr 2002"
"16","50","63","63","5","0","79.36","6","caught","1","v Bangladesh","Colombo (RPS)","7 Aug 2002"
"17","DNB","-","-","-","-","-","-","-","2","v South Africa","Tangier","19 Aug 2002"
"18","18*","27","17","4","0","105.88","6","not out","2","v New Zealand","Dambulla","13 May 2003"
"19","46","110","93","2","0","49.46","6","caught","1","v Pakistan","Dambulla","18 May 2003"
"20","7","23","18","0","0","38.88","6","caught","2","v New Zealand","Dambulla","19 May 2003"
"21","27","-","46","0","0","58.69","6","bowled","1","v West Indies","Bridgetown","7 Jun 2003"
"22","13*","-","8","2","0","162.50","7","not out","2","v West Indies","Bridgetown","8 Jun 2003"
"23","0","-","7","0","0","0.00","7","caught","1","v West Indies","Kingstown","11 Jun 2003"
"24","DNB","-","-","-","-","-","-","-","2","v England","Dambulla","18 Nov 2003"
"25","18*","38","28","1","0","64.28","6","not out","2","v Australia","Dambulla","20 Feb 2004"
"26","11","32","18","0","0","61.11","5","bowled","1","v Australia","Dambulla","22 Feb 2004"
"27","30","41","40","2","0","75.00","6","caught","1","v Australia","Colombo (RPS)","25 Feb 2004"
"28","9","10","9","1","0","100.00","6","run out","2","v Australia","Colombo (RPS)","27 Feb 2004"
"29","15","45","38","2","0","39.47","6","bowled","2","v Australia","Colombo (SSC)","29 Feb 2004"
"30","35*","53","41","2","0","85.36","6","not out","2","v Zimbabwe","Bulawayo","20 Apr 2004"
"31","DNB","-","-","-","-","-","-","-","2","v Zimbabwe","Bulawayo","22 Apr 2004"
"32","DNB","-","-","-","-","-","-","-","2","v Zimbabwe","Harare","25 Apr 2004"
"33","18","51","31","1","0","58.06","5","caught","1","v Zimbabwe","Harare","27 Apr 2004"
"34","21","33","35","1","0","60.00","4","run out","1","v Zimbabwe","Harare","29 Apr 2004"
"35","6","8","10","0","0","60.00","6","bowled","1","v U.A.E.","Dambulla","17 Jul 2004"
"36","7*","6","8","1","0","87.50","6","not out","1","v India","Dambulla","18 Jul 2004"
"37","DNB","-","-","-","-","-","-","-","2","v Pakistan","Colombo (RPS)","21 Jul 2004"
"38","DNB","-","-","-","-","-","-","-","2","v Bangladesh","Colombo (RPS)","23 Jul 2004"
"39","39","78","46","3","0","84.78","7","bowled","2","v India","Colombo (RPS)","27 Jul 2004"
"40","22","32","35","0","0","62.85","6","stumped","1","v India","Colombo (RPS)","1 Aug 2004"
"41","38*","73","37","2","0","102.70","6","not out","2","v South Africa","Colombo (RPS)","20 Aug 2004"
"42","5","23","21","0","0","23.80","6","caught","1","v South Africa","Colombo (RPS)","22 Aug 2004"
"43","3","14","6","0","0","50.00","6","bowled","2","v South Africa","Dambulla","25 Aug 2004"
"44","DNB","-","-","-","-","-","-","-","2","v South Africa","Dambulla","28 Aug 2004"
"45","18","26","17","3","0","105.88","6","bowled","1","v South Africa","Colombo (SSC)","31 Aug 2004"
"46","25*","41","28","2","0","89.28","7","not out","2","v Zimbabwe","The Oval","14 Sep 2004"
"47","2*","4","2","0","0","100.00","7","not out","2","v England","Southampton","17 Sep 2004"
"48","4","-","15","0","0","26.66","6","caught","1","v Pakistan","Karachi","6 Oct 2004"
"49","26*","-","21","5","0","123.80","3","not out","2","v Zimbabwe","Rawalpindi","9 Oct 2004"
"50","32*","34","25","4","0","128.00","6","not out","1","v Pakistan","Lahore","14 Oct 2004"
"51","39","42","37","4","0","105.40","6","bowled","1","v Pakistan","Lahore","16 Oct 2004"
"52","48","112","79","3","1","60.75","6","caught","1","v New Zealand","Auckland","26 Dec 2004"
"53","17","58","44","3","0","38.63","4","lbw","2","v India","Dambulla","30 Jul 2005"
"54","4","12","7","0","0","57.14","6","run out","1","v West Indies","Dambulla","2 Aug 2005"
"55","7","12","11","0","0","63.63","5","caught","2","v India","Dambulla","3 Aug 2005"
"56","0","1","1","0","0","0.00","5","lbw","2","v West Indies","Colombo (RPS)","6 Aug 2005"
"57","7","13","11","0","0","63.63","7","bowled","1","v India","Colombo (RPS)","9 Aug 2005"
"58","1","3","5","0","0","20.00","7","caught","1","v Bangladesh","Colombo (SSC)","31 Aug 2005"
"59","27","72","59","0","0","45.76","3","caught","1","v Bangladesh","Colombo (RPS)","2 Sep 2005"
"60","DNB","-","-","-","-","-","-","-","2","v Bangladesh","Colombo (RPS)","4 Sep 2005"
"61","23","23","25","2","1","92.00","7","bowled","2","v India","Nagpur","25 Oct 2005"
"62","0","1","1","0","0","0.00","6","lbw","1","v India","Mohali","28 Oct 2005"
"63","3","9","6","0","0","50.00","5","lbw","1","v India","Jaipur","31 Oct 2005"
"64","52","95","68","9","0","76.47","4","caught","1","v India","Pune","3 Nov 2005"
"65","81*","88","67","8","0","120.89","6","not out","2","v India","Ahmedabad","6 Nov 2005"
"66","59","76","63","9","0","93.65","6","run out","1","v India","Rajkot","9 Nov 2005"
"67","4","4","3","1","0","133.33","6","caught","1","v India","Vadodara","12 Nov 2005"
"68","42","84","54","4","1","77.77","6","caught","1","v New Zealand","Queenstown","31 Dec 2005"
