"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","9*","33","19","1","0","47.36","3","not out","2","v Bangladesh","Chittagong","9 Mar 2008"
"2","16","35","27","2","0","59.25","3","caught","2","v Bangladesh","Dhaka","12 Mar 2008"
"3","DNB","-","-","-","-","-","-","-","2","v Bangladesh","Dhaka","14 Mar 2008"
"4","46","66","59","6","0","77.96","1","caught","2","v England","The Oval","29 Aug 2008"
"5","34","40","31","8","0","109.67","2","run out","1","v England","Lord's","31 Aug 2008"
"6","3*","13","6","0","0","50.00","2","not out","1","v England","Cardiff","3 Sep 2008"
"7","7","13","7","1","0","100.00","2","caught","1","v Kenya","Bloemfontein","31 Oct 2008"
"8","78","93","76","13","0","102.63","1","caught","2","v Kenya","Kimberley","2 Nov 2008"
"9","35","46","34","6","0","102.94","1","run out","1","v Bangladesh","Potchefstroom","7 Nov 2008"
"10","140","166","135","8","4","103.70","1","caught","1","v Bangladesh","Benoni","9 Nov 2008"
"11","1","4","3","0","0","33.33","2","bowled","2","v Australia","Melbourne","16 Jan 2009"
"12","8","22","19","0","0","42.10","2","caught","2","v Australia","Hobart","18 Jan 2009"
"13","13","27","19","1","0","68.42","1","run out","2","v Australia","Sydney","23 Jan 2009"
"14","80*","157","103","7","0","77.66","1","not out","2","v Australia","Adelaide","26 Jan 2009"
"15","97","156","117","6","1","82.90","1","caught","1","v Australia","Perth","30 Jan 2009"
"16","7","15","14","1","0","50.00","1","caught","2","v Australia","Durban","3 Apr 2009"
"17","2","13","10","0","0","20.00","2","bowled","2","v Sri Lanka","Centurion","22 Sep 2009"
"18","38","103","65","3","0","58.46","2","lbw","2","v New Zealand","Centurion","24 Sep 2009"
"19","80","131","96","6","0","83.33","1","caught","1","v Zimbabwe","Benoni","8 Nov 2009"
"20","57","116","72","6","0","79.16","1","caught","1","v England","Centurion","22 Nov 2009"
"21","86","131","92","7","0","93.47","1","caught","1","v England","Cape Town","27 Nov 2009"
"22","11","28","22","2","0","50.00","1","caught","1","v England","Port Elizabeth","29 Nov 2009"
"23","34","41","22","7","0","154.54","1","caught","2","v India","Gwalior","24 Feb 2010"
"24","87","-","103","8","0","84.46","2","caught","1","v India","Ahmedabad","27 Feb 2010"
"25","102","130","109","8","0","93.57","1","bowled","1","v West Indies","North Sound","22 May 2010"
"26","92","132","95","7","0","96.84","2","caught","1","v West Indies","North Sound","24 May 2010"
"27","34","42","28","5","0","121.42","1","bowled","1","v West Indies","Roseau","28 May 2010"
"28","129","-","115","9","2","112.17","2","caught","2","v West Indies","Roseau","30 May 2010"
"29","45","-","50","3","1","90.00","1","run out","2","v West Indies","Port of Spain","3 Jun 2010"
"30","110","127","96","14","0","114.58","1","run out","1","v Zimbabwe","Bloemfontein","15 Oct 2010"
"31","110","128","103","12","0","106.79","1","caught","2","v Zimbabwe","Potchefstroom","17 Oct 2010"
"32","24","34","18","3","1","133.33","2","caught","1","v Zimbabwe","Benoni","22 Oct 2010"
"33","35","57","29","3","1","120.68","2","lbw","2","v Pakistan","Abu Dhabi","29 Oct 2010"
"34","65","84","62","8","0","104.83","1","lbw","1","v Pakistan","Abu Dhabi","31 Oct 2010"
"35","119*","215","126","9","0","94.44","1","not out","1","v Pakistan","Dubai (DSC)","2 Nov 2010"
"36","10","-","12","1","0","83.33","2","caught","1","v Pakistan","Dubai (DSC)","5 Nov 2010"
"37","62","-","47","9","1","131.91","1","caught","1","v Pakistan","Dubai (DSC)","8 Nov 2010"
"38","50","59","36","8","0","138.88","2","caught","1","v India","Durban","12 Jan 2011"
"39","4","8","9","1","0","44.44","1","caught","2","v India","Johannesburg","15 Jan 2011"
"40","16","28","18","2","0","88.88","2","bowled","1","v India","Cape Town","18 Jan 2011"
"41","64","93","69","8","0","92.75","1","run out","1","v India","Port Elizabeth","21 Jan 2011"
"42","116*","184","132","9","0","87.87","2","not out","1","v India","Centurion","23 Jan 2011"
"43","14","14","15","2","0","93.33","1","caught","2","v West Indies","Delhi","24 Feb 2011"
"44","113","191","130","8","0","86.92","1","caught","1","v Netherlands","Mohali","3 Mar 2011"
"45","42","81","51","2","0","82.35","1","bowled","2","v England","Chennai","6 Mar 2011"
"46","61","114","72","5","0","84.72","1","caught","2","v India","Nagpur","12 Mar 2011"
"47","18","20","17","1","1","105.88","1","caught","1","v Ireland","Kolkata","15 Mar 2011"
"48","51","93","59","6","0","86.44","1","bowled","1","v Bangladesh","Dhaka","19 Mar 2011"
"49","7","4","5","1","0","140.00","1","caught","2","v New Zealand","Dhaka","25 Mar 2011"
"50","24","45","32","2","1","75.00","2","caught","2","v Australia","Centurion","19 Oct 2011"
"51","0","2","1","0","0","0.00","1","caught","1","v Australia","Port Elizabeth","23 Oct 2011"
"52","52","112","72","7","0","72.22","1","run out","1","v Australia","Durban","28 Oct 2011"
"53","112","210","128","8","0","87.50","1","caught","1","v Sri Lanka","Paarl","11 Jan 2012"
"54","55","97","58","5","2","94.82","2","bowled","2","v Sri Lanka","East London","14 Jan 2012"
"55","8","18","10","1","0","80.00","1","bowled","2","v New Zealand","Wellington","25 Feb 2012"
"56","92","138","107","12","0","85.98","1","caught","2","v New Zealand","Napier","29 Feb 2012"
"57","76","113","89","7","0","85.39","1","caught","2","v New Zealand","Auckland","3 Mar 2012"
"58","TDNB","-","-","-","-","-","-","-","-","v England","Cardiff","24 Aug 2012"
"59","150","209","124","16","0","120.96","2","caught","1","v England","Southampton","28 Aug 2012"
"60","43","68","51","5","0","84.31","1","bowled","1","v England","The Oval","31 Aug 2012"
"61","45","111","73","3","1","61.64","2","bowled","1","v England","Lord's","2 Sep 2012"
"62","97*","141","107","9","1","90.65","1","not out","2","v England","Nottingham","5 Sep 2012"
"63","13","19","22","1","0","59.09","1","lbw","1","v New Zealand","Paarl","19 Jan 2013"
"64","43","75","43","6","0","100.00","2","caught","1","v Pakistan","Bloemfontein","10 Mar 2013"
"65","17","19","16","3","0","106.25","1","caught","1","v Pakistan","Centurion","15 Mar 2013"
"66","122","201","113","9","1","107.96","2","caught","1","v Pakistan","Johannesburg","17 Mar 2013"
"67","0","1","1","0","0","0.00","1","caught","1","v Pakistan","Durban","21 Mar 2013"
"68","22","102","65","2","0","33.84","1","caught","2","v Pakistan","Benoni","24 Mar 2013"
"69","20","31","23","2","0","86.95","1","caught","1","v Netherlands","Amstelveen","31 May 2013"
"70","22","17","15","4","0","146.66","1","caught","2","v India","Cardiff","6 Jun 2013"
"71","81","136","97","9","0","83.50","2","caught","1","v Pakistan","Birmingham","10 Jun 2013"
"72","23","57","27","2","0","85.18","2","caught","1","v West Indies","Cardiff","14 Jun 2013"
"73","1","9","3","0","0","33.33","2","caught","1","v England","The Oval","19 Jun 2013"
"74","DNB","-","-","-","-","-","-","-","2","v Sri Lanka","Colombo (RPS)","23 Jul 2013"
"75","77","88","71","9","0","108.45","1","lbw","1","v Sri Lanka","Pallekele","28 Jul 2013"
"76","18","40","28","2","0","64.28","2","lbw","2","v Sri Lanka","Colombo (RPS)","31 Jul 2013"
"77","10","19","10","1","0","100.00","1","bowled","1","v Pakistan","Abu Dhabi","6 Nov 2013"
"78","46","78","50","6","0","92.00","2","bowled","1","v Pakistan","Abu Dhabi","8 Nov 2013"
"79","3","3","4","0","0","75.00","1","lbw","1","v Pakistan","Sharjah","11 Nov 2013"
"80","3","12","3","0","0","100.00","2","bowled","2","v Pakistan","Cape Town","24 Nov 2013"
"81","98","189","131","7","0","74.80","1","caught","2","v Pakistan","Port Elizabeth","27 Nov 2013"
"82","41","69","48","6","0","85.41","2","run out","2","v Pakistan","Centurion","30 Nov 2013"
"83","65","117","88","5","1","73.86","1","bowled","1","v India","Johannesburg","5 Dec 2013"
"84","100","160","117","8","0","85.47","2","caught","1","v India","Durban","8 Dec 2013"
"85","13","21","16","3","0","81.25","1","caught","1","v India","Centurion","11 Dec 2013"
"86","109","176","130","8","1","83.84","1","lbw","1","v Sri Lanka","Colombo (RPS)","6 Jul 2014"
"87","101","162","102","11","0","99.01","1","caught","2","v Sri Lanka","Pallekele","9 Jul 2014"
"88","48","83","61","4","0","78.68","1","caught","1","v Sri Lanka","Hambantota","12 Jul 2014"
"89","122*","209","132","6","3","92.42","2","not out","1","v Zimbabwe","Bulawayo","17 Aug 2014"
"90","15","38","21","2","0","71.42","2","bowled","1","v Zimbabwe","Bulawayo","19 Aug 2014"
