"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","DNB","-","-","-","-","-","-","-","1","v England","Georgetown","18 Apr 2004"
"2","DNB","-","-","-","-","-","-","-","1","v England","Port of Spain","24 Apr 2004"
"3","12*","5","6","1","1","200.00","7","not out","2","v England","Gros Islet","1 May 2004"
"4","33*","59","42","3","0","78.57","7","not out","2","v England","Gros Islet","2 May 2004"
"5","11","23","19","0","0","57.89","7","bowled","1","v England","Bridgetown","5 May 2004"
"6","16","53","43","1","0","37.20","6","run out","2","v Bangladesh","Kingstown","15 May 2004"
"7","0","2","1","0","0","0.00","6","caught","1","v Bangladesh","Kingstown","16 May 2004"
"8","DNB","-","-","-","-","-","-","-","2","v Bangladesh","St George's","19 May 2004"
"9","DNB","-","-","-","-","-","-","-","1","v New Zealand","Birmingham","26 Jun 2004"
"10","DNB","-","-","-","-","-","-","-","2","v England","Nottingham","27 Jun 2004"
"11","5","16","14","1","0","35.71","6","caught","1","v England","Leeds","1 Jul 2004"
"12","15","35","27","1","0","55.55","5","caught","1","v New Zealand","Cardiff","3 Jul 2004"
"13","DNB","-","-","-","-","-","-","-","2","v England","Lord's","6 Jul 2004"
"14","TDNB","-","-","-","-","-","-","-","-","v New Zealand","Southampton","8 Jul 2004"
"15","4","18","14","0","0","28.57","5","caught","2","v New Zealand","Lord's","10 Jul 2004"
"16","DNB","-","-","-","-","-","-","-","1","v Bangladesh","Southampton","15 Sep 2004"
"17","4*","5","3","0","0","133.33","7","not out","2","v South Africa","The Oval","18 Sep 2004"
"18","DNB","-","-","-","-","-","-","-","2","v Pakistan","Southampton","22 Sep 2004"
"19","0","8","7","0","0","0.00","6","caught","2","v England","The Oval","25 Sep 2004"
"20","3","17","10","0","0","30.00","8","caught","2","v Australia","Melbourne","14 Jan 2005"
"21","27","-","22","3","0","122.72","7","caught","1","v Australia","Brisbane","21 Jan 2005"
"22","18","-","24","0","1","75.00","7","bowled","2","v Australia","Adelaide","26 Jan 2005"
"23","3*","4","3","0","0","100.00","7","not out","1","v Pakistan","Adelaide","28 Jan 2005"
"24","1","-","6","0","0","16.66","7","bowled","2","v Pakistan","Perth","1 Feb 2005"
"25","14","23","14","1","0","100.00","7","caught","1","v South Africa","Kingston","7 May 2005"
"26","14","57","42","0","0","33.33","6","stumped","1","v South Africa","Kingston","8 May 2005"
"27","21*","41","19","0","0","110.52","7","not out","2","v South Africa","Bridgetown","11 May 2005"
"28","28","-","27","4","0","103.70","6","caught","1","v South Africa","Port of Spain","14 May 2005"
"29","41*","59","40","3","0","102.50","5","not out","1","v South Africa","Port of Spain","15 May 2005"
"30","27","81","66","1","0","40.90","7","caught","2","v Pakistan","Kingstown","18 May 2005"
"31","0","3","4","0","0","0.00","7","lbw","2","v Pakistan","Gros Islet","21 May 2005"
"32","16","21","13","1","0","123.07","7","bowled","2","v Pakistan","Gros Islet","22 May 2005"
"33","3","7","5","0","0","60.00","9","caught","2","v New Zealand","Napier","1 Mar 2006"
"34","38","56","46","2","0","82.60","4","stumped","2","v New Zealand","Auckland","4 Mar 2006"
