"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","28","51","37","1","0","75.67","5","caught","1","v New Zealand","Lahore","27 Apr 2002"
"2","50*","-","92","3","0","54.34","5","not out","2","v Kenya","Nairobi (Gym)","1 Sep 2002"
"3","39","85","50","4","2","78.00","5","caught","1","v Australia","Nairobi (Gym)","4 Sep 2002"
"4","50","89","74","6","0","67.56","6","bowled","1","v Australia","Nairobi (Gym)","7 Sep 2002"
"5","47","85","70","2","1","67.14","7","bowled","1","v Sri Lanka","Colombo (RPS)","12 Sep 2002"
"6","DNB","-","-","-","-","-","-","-","2","v Netherlands","Colombo (SSC)","21 Sep 2002"
"7","1*","4","4","0","0","25.00","4","not out","2","v Zimbabwe","Harare","30 Nov 2002"
"8","0","5","4","0","0","0.00","3","caught","1","v Zimbabwe","Harare","1 Dec 2002"
"9","42","66","55","2","1","76.36","4","caught","1","v Kenya","Sharjah","8 Apr 2003"
"10","21","17","17","1","1","123.52","7","caught","2","v New Zealand","Lahore","29 Nov 2003"
"11","4","13","13","0","0","30.76","5","caught","1","v New Zealand","Lahore","1 Dec 2003"
"12","23","-","38","3","0","60.52","5","caught","2","v Zimbabwe","Peshawar","3 Oct 2004"
"13","20","44","35","2","0","57.14","6","caught","2","v South Africa","Lahore","18 Oct 2007"
"14","21","24","21","2","1","100.00","6","caught","1","v South Africa","Lahore","20 Oct 2007"
"15","29*","42","32","2","1","90.62","6","not out","2","v South Africa","Faisalabad","23 Oct 2007"
"16","7","31","19","1","0","36.84","6","caught","1","v South Africa","Multan","26 Oct 2007"
"17","19","47","30","1","0","63.33","6","caught","2","v South Africa","Lahore","29 Oct 2007"
"18","27","36","26","2","0","103.84","7","caught","1","v India","Guwahati","5 Nov 2007"
"19","49","70","44","3","0","111.36","6","bowled","2","v India","Mohali","8 Nov 2007"
"20","38","56","47","2","0","80.85","6","bowled","2","v India","Kanpur","11 Nov 2007"
"21","40","62","39","2","1","102.56","6","bowled","1","v India","Gwalior","15 Nov 2007"
"22","22","30","17","1","1","129.41","6","caught","1","v India","Jaipur","18 Nov 2007"
"23","55*","56","38","4","1","144.73","6","not out","1","v Zimbabwe","Karachi","21 Jan 2008"
"24","20","46","50","2","0","40.00","6","caught","2","v Zimbabwe","Hyderabad (Sind)","24 Jan 2008"
"25","44","85","50","3","1","88.00","6","caught","1","v Zimbabwe","Multan","27 Jan 2008"
"26","DNB","-","-","-","-","-","-","-","2","v Zimbabwe","Faisalabad","30 Jan 2008"
"27","31*","-","32","4","1","96.87","4","not out","2","v Zimbabwe","Sheikhupura","2 Feb 2008"
"28","38","32","27","1","2","140.74","6","caught","1","v Bangladesh","Lahore","8 Apr 2008"
"29","DNB","-","-","-","-","-","-","-","2","v Bangladesh","Faisalabad","11 Apr 2008"
"30","10","20","11","1","0","90.90","7","caught","1","v Bangladesh","Lahore","13 Apr 2008"
"31","DNB","-","-","-","-","-","-","-","2","v Bangladesh","Multan","16 Apr 2008"
"32","35","28","22","3","0","159.09","7","caught","1","v Bangladesh","Karachi","19 Apr 2008"
"33","39","28","22","3","2","177.27","7","lbw","1","v Bangladesh","Dhaka","8 Jun 2008"
"34","24","56","28","5","0","85.71","5","caught","2","v India","Dhaka","10 Jun 2008"
"35","33","27","21","4","1","157.14","4","caught","1","v India","Dhaka","14 Jun 2008"
"36","2","17","8","0","0","25.00","5","lbw","1","v Hong Kong","Karachi","24 Jun 2008"
"37","31*","46","26","3","0","119.23","5","not out","1","v India","Karachi","26 Jun 2008"
"38","76","80","70","3","4","108.57","5","bowled","2","v Sri Lanka","Karachi","29 Jun 2008"
