"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","13*","-","12","2","0","108.33","7","not out","1","v Pakistan","Quetta","1 Oct 1978"
"2","5","-","16","-","0","31.25","7","caught","1","v Pakistan","Sialkot","13 Oct 1978"
"3","DNB","-","-","-","-","-","-","-","2","v Pakistan","Sahiwal","3 Nov 1978"
"4","12","19","12","1","0","100.00","7","bowled","1","v West Indies","Birmingham","9 Jun 1979"
"5","25","30","24","3","0","104.16","7","caught","1","v New Zealand","Leeds","13 Jun 1979"
"6","16","29","19","2","0","84.21","6","caught","2","v Sri Lanka","Manchester","16 Jun 1979"
"7","6","35","16","0","0","37.50","7","bowled","1","v Australia","Melbourne","6 Dec 1980"
"8","0","4","2","0","0","0.00","7","caught","1","v New Zealand","Perth","9 Dec 1980"
"9","4","7","5","0","0","80.00","8","caught","1","v Australia","Sydney","18 Dec 1980"
"10","75","81","51","9","3","147.05","7","caught","1","v New Zealand","Brisbane","21 Dec 1980"
"11","27","31","20","5","0","135.00","6","caught","1","v New Zealand","Adelaide","23 Dec 1980"
"12","0","3","1","0","0","0.00","7","lbw","1","v Australia","Sydney","8 Jan 1981"
"13","21","32","19","0","0","110.52","7","run out","1","v New Zealand","Melbourne","10 Jan 1981"
"14","4","4","4","1","0","100.00","4","caught","1","v Australia","Melbourne","11 Jan 1981"
"15","20","69","35","1","0","57.14","7","caught","2","v Australia","Sydney","15 Jan 1981"
"16","0","1","2","0","0","0.00","5","bowled","2","v New Zealand","Brisbane","18 Jan 1981"
"17","50","-","68","4","1","73.52","7","run out","2","v New Zealand","Auckland","14 Feb 1981"
"18","1","-","3","0","0","33.33","8","lbw","2","v New Zealand","Hamilton","15 Feb 1981"
"19","6","-","7","1","0","85.71","5","caught","2","v England","Jalandhar","20 Dec 1981"
"20","0","-","2","0","0","0.00","6","caught","2","v England","Cuttack","27 Jan 1982"
"21","60","-","37","5","3","162.16","8","run out","1","v England","Leeds","2 Jun 1982"
"22","47","-","62","4","1","75.80","7","caught","2","v England","The Oval","4 Jun 1982"
"23","49","-","31","3","1","158.06","6","stumped","1","v Sri Lanka","Amritsar","12 Sep 1982"
"24","1*","-","3","0","0","33.33","6","not out","2","v Sri Lanka","Delhi","15 Sep 1982"
"25","15","-","14","-","-","107.14","5","caught","2","v Sri Lanka","Bangalore","26 Sep 1982"
"26","15","-","12","0","1","125.00","6","caught","2","v Pakistan","Gujranwala","3 Dec 1982"
"27","35","-","21","2","2","166.66","6","bowled","2","v Pakistan","Multan","17 Dec 1982"
"28","8","-","5","0","0","160.00","4","lbw","2","v Pakistan","Lahore","31 Dec 1982"
"29","20","-","18","1","1","111.11","5","caught","1","v Pakistan","Karachi","21 Jan 1983"
"30","0","-","1","0","0","0.00","5","lbw","2","v West Indies","Port of Spain","9 Mar 1983"
"31","72","-","38","7","3","189.47","4","bowled","1","v West Indies","Albion","29 Mar 1983"
"32","1","-","4","0","0","25.00","7","lbw","1","v West Indies","St George's","7 Apr 1983"
"33","6","-","13","-","-","46.15","6","caught","1","v West Indies","Manchester","9 Jun 1983"
"34","2*","-","8","0","0","25.00","7","not out","2","v Zimbabwe","Leicester","11 Jun 1983"
"35","40","-","27","2","1","148.14","7","bowled","2","v Australia","Nottingham","13 Jun 1983"
"36","36","-","46","-","-","78.26","7","caught","2","v West Indies","The Oval","15 Jun 1983"
"37","175*","-","138","16","6","126.81","6","not out","1","v Zimbabwe","Tunbridge Wells","18 Jun 1983"
"38","28","-","32","3","0","87.50","6","caught","1","v Australia","Chelmsford","20 Jun 1983"
"39","1*","10","6","0","0","16.66","6","not out","2","v England","Manchester","22 Jun 1983"
"40","15","10","8","3","0","187.50","6","caught","1","v West Indies","Lord's","25 Jun 1983"
"41","18","-","23","2","1","78.26","7","caught","2","v Pakistan","Hyderabad (Deccan)","10 Sep 1983"
"42","9","-","20","0","0","45.00","5","caught","2","v Pakistan","Jaipur","2 Oct 1983"
"43","17","-","32","-","-","53.12","6","caught","1","v West Indies","Srinagar","13 Oct 1983"
"44","15","-","11","-","-","136.36","7","bowled","1","v West Indies","Vadodara","9 Nov 1983"
"45","28","-","25","3","1","112.00","6","caught","1","v West Indies","Indore","1 Dec 1983"
"46","44*","-","44","4","2","100.00","5","not out","2","v West Indies","Jamshedpur","7 Dec 1983"
"47","39","63","47","6","0","82.97","7","bowled","2","v Australia","New Delhi","28 Sep 1984"
"48","12","20","16","2","0","75.00","5","bowled","1","v Australia","Thiruvananthapuram","1 Oct 1984"
"49","0*","2","2","0","0","0.00","4","not out","1","v Australia","Jamshedpur","3 Oct 1984"
"50","28","39","31","2","1","90.32","5","bowled","1","v Australia","Ahmedabad","5 Oct 1984"
"51","22*","15","11","1","1","200.00","6","not out","1","v Australia","Indore","6 Oct 1984"
"52","0","-","1","0","0","0.00","6","bowled","2","v Pakistan","Quetta","12 Oct 1984"
"53","8","-","16","0","0","50.00","4","caught","1","v England","Bangalore","20 Jan 1985"
"54","54","-","41","3","4","131.70","6","caught","2","v England","Nagpur","23 Jan 1985"
"55","17","-","15","0","0","113.33","3","caught","2","v England","Chandigarh","27 Jan 1985"
"56","DNB","-","-","-","-","-","-","-","2","v Pakistan","Melbourne","20 Feb 1985"
"57","29","33","23","0","1","126.08","5","caught","1","v England","Sydney","26 Feb 1985"
"58","DNB","-","-","-","-","-","-","-","2","v Australia","Melbourne","3 Mar 1985"
"59","54*","52","37","5","0","145.94","5","not out","2","v New Zealand","Sydney","5 Mar 1985"
"60","DNB","-","-","-","-","-","-","-","2","v Pakistan","Melbourne","10 Mar 1985"
"61","30","-","44","4","0","68.18","7","bowled","1","v Pakistan","Sharjah","22 Mar 1985"
"62","1","19","14","0","0","7.14","7","bowled","2","v Australia","Sharjah","29 Mar 1985"
"63","24","-","19","1","0","126.31","5","caught","2","v Sri Lanka","Colombo (SSC)","25 Aug 1985"
"64","6*","-","10","0","0","60.00","6","not out","2","v Sri Lanka","Colombo (PSS)","21 Sep 1985"
"65","12","-","15","1","0","80.00","6","caught","1","v Sri Lanka","Colombo (PSS)","22 Sep 1985"
"66","0","-","3","0","0","0.00","6","lbw","2","v Pakistan","Sharjah","17 Nov 1985"
"67","28*","-","25","2","0","112.00","6","not out","1","v West Indies","Sharjah","22 Nov 1985"
"68","54*","79","53","5","0","101.88","6","not out","2","v New Zealand","Brisbane","11 Jan 1986"
"69","16","24","19","0","1","84.21","6","run out","1","v Australia","Brisbane","12 Jan 1986"
"70","DNB","-","-","-","-","-","-","-","2","v Australia","Melbourne","16 Jan 1986"
"71","0","1","1","0","0","0.00","7","caught","1","v New Zealand","Perth","18 Jan 1986"
"72","28","50","39","0","1","71.79","5","caught","2","v Australia","Sydney","21 Jan 1986"
"73","47","56","39","0","0","120.51","6","caught","1","v New Zealand","Melbourne","23 Jan 1986"
"74","6*","11","5","1","0","120.00","7","not out","2","v New Zealand","Adelaide","25 Jan 1986"
"75","25","35","24","2","0","104.16","7","caught","2","v Australia","Adelaide","26 Jan 1986"
"76","23","28","18","2","0","127.77","5","caught","2","v Australia","Melbourne","31 Jan 1986"
"77","2","2","4","0","0","50.00","7","lbw","1","v New Zealand","Launceston","2 Feb 1986"
"78","0","2","1","0","0","0.00","7","bowled","2","v Australia","Sydney","5 Feb 1986"
"79","1","4","5","0","0","20.00","5","caught","1","v Australia","Melbourne","9 Feb 1986"
"80","9","39","29","0","0","31.03","7","caught","2","v New Zealand","Sharjah","10 Apr 1986"
