"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","75","152","115","3","0","65.21","2","caught","2","v Zimbabwe","Harare","28 Nov 2004"
"2","5","19","16","0","0","31.25","2","caught","1","v Zimbabwe","Harare","1 Dec 2004"
"3","53","85","63","5","1","84.12","2","caught","2","v Zimbabwe","Bulawayo","4 Dec 2004"
"4","30","56","45","5","0","66.66","1","caught","1","v Zimbabwe","Bulawayo","5 Dec 2004"
"5","DNB","-","-","-","-","-","-","-","2","v South Africa","Johannesburg","30 Jan 2005"
"6","11*","15","8","1","0","137.50","7","not out","1","v South Africa","Bloemfontein","2 Feb 2005"
"7","13","24","16","1","0","81.25","7","caught","1","v South Africa","Port Elizabeth","4 Feb 2005"
"8","2","12","8","0","0","25.00","6","caught","2","v South Africa","Cape Town","6 Feb 2005"
"9","37*","30","42","5","0","88.09","9","not out","2","v Pakistan","Karachi","15 Dec 2005"
"10","sub","-","-","-","-","-","-","-","2","v Pakistan","Rawalpindi","19 Dec 2005"
"11","46","88","64","6","0","71.87","2","caught","2","v India","Jamshedpur","12 Apr 2006"
"12","32","92","45","4","0","71.11","2","run out","1","v India","Indore","15 Apr 2006"
"13","80","110","101","4","0","79.20","5","caught","1","v Ireland","Belfast","13 Jun 2006"
"14","7","9","9","1","0","77.77","3","bowled","2","v Sri Lanka","Lord's","17 Jun 2006"
"15","40","88","50","4","1","80.00","3","caught","2","v Sri Lanka","The Oval","20 Jun 2006"
"16","77","155","114","3","0","67.54","3","run out","1","v Sri Lanka","Chester-le-Street","24 Jun 2006"
"17","30","66","48","1","0","62.50","3","stumped","2","v Sri Lanka","Manchester","28 Jun 2006"
"18","18","44","27","2","0","66.66","3","caught","1","v Sri Lanka","Leeds","1 Jul 2006"
"19","88","143","117","12","0","75.21","3","run out","1","v Pakistan","Cardiff","30 Aug 2006"
"20","9","32","21","1","0","42.85","3","caught","1","v Pakistan","Lord's","2 Sep 2006"
"21","42","107","66","3","0","63.63","3","caught","1","v Pakistan","Southampton","5 Sep 2006"
"22","86*","150","111","10","0","77.47","3","not out","2","v Pakistan","Nottingham","8 Sep 2006"
"23","2","25","10","0","0","20.00","3","caught","2","v Pakistan","Birmingham","10 Sep 2006"
"24","4","14","7","0","0","57.14","2","lbw","1","v India","Jaipur","15 Oct 2006"
"25","43","86","60","7","0","71.66","2","caught","1","v Australia","Jaipur","21 Oct 2006"
"26","50","147","79","6","0","63.29","2","run out","2","v West Indies","Ahmedabad","28 Oct 2006"
"27","15","54","29","2","0","51.72","3","caught","1","v Australia","Melbourne","12 Jan 2007"
"28","45","112","72","2","0","62.50","3","lbw","2","v New Zealand","Hobart","16 Jan 2007"
"29","10","32","15","1","0","66.66","3","run out","1","v Australia","Brisbane","19 Jan 2007"
"30","2","17","15","0","0","13.33","3","caught","2","v New Zealand","Adelaide","23 Jan 2007"
"31","35","44","31","2","1","112.90","3","caught","1","v Australia","Adelaide","26 Jan 2007"
"32","31","62","42","3","1","73.80","3","caught","2","v New Zealand","Perth","30 Jan 2007"
"33","51","96","60","4","0","85.00","3","caught","1","v Australia","Sydney","2 Feb 2007"
"34","12","33","28","2","0","42.85","3","caught","1","v New Zealand","Brisbane","6 Feb 2007"
"35","65","147","90","3","0","72.22","3","bowled","2","v Australia","Melbourne","9 Feb 2007"
"36","26","84","45","1","0","57.77","3","run out","1","v Australia","Sydney","11 Feb 2007"
"37","5","38","19","0","0","26.31","3","caught","1","v New Zealand","Gros Islet","16 Mar 2007"
"38","28","42","44","1","0","63.63","3","caught","1","v Canada","Gros Islet","18 Mar 2007"
"39","16","24","18","2","0","88.88","3","caught","2","v Kenya","Gros Islet","24 Mar 2007"
"40","31","92","74","2","0","41.89","3","caught","1","v Ireland","Providence","30 Mar 2007"
"41","47","88","71","4","0","66.19","3","run out","2","v Sri Lanka","North Sound","4 Apr 2007"
"42","77","126","90","9","0","85.55","1","caught","1","v Australia","North Sound","8 Apr 2007"
"43","0","15","10","0","0","0.00","1","caught","2","v Bangladesh","Bridgetown","11 Apr 2007"
"44","7","30","23","1","0","30.43","1","caught","1","v South Africa","Bridgetown","17 Apr 2007"
"45","56","115","75","2","0","74.66","3","run out","1","v West Indies","Lord's","1 Jul 2007"
"46","2","6","6","0","0","33.33","3","lbw","2","v West Indies","Birmingham","4 Jul 2007"
"47","27","68","45","4","0","60.00","3","caught","2","v West Indies","Nottingham","7 Jul 2007"
"48","126*","161","118","10","1","106.77","3","not out","1","v India","Southampton","21 Aug 2007"
"49","64","128","96","6","1","66.66","3","caught","2","v India","Bristol","24 Aug 2007"
"50","79","140","89","2","2","88.76","3","caught","1","v India","Birmingham","27 Aug 2007"
"51","24","23","20","4","0","120.00","3","bowled","2","v India","Manchester","30 Aug 2007"
"52","44","58","38","8","0","115.78","3","caught","2","v India","Leeds","2 Sep 2007"
"53","49","74","59","10","0","83.05","3","bowled","1","v India","The Oval","5 Sep 2007"
"54","36","62","40","6","0","90.00","3","run out","2","v India","Lord's","8 Sep 2007"
"55","0","16","9","0","0","0.00","3","caught","2","v Sri Lanka","Dambulla","1 Oct 2007"
"56","18","23","21","3","0","85.71","3","lbw","1","v Sri Lanka","Dambulla","4 Oct 2007"
"57","16","45","24","3","0","66.66","3","caught","2","v Sri Lanka","Dambulla","7 Oct 2007"
"58","25","65","49","3","0","51.02","3","caught","2","v Sri Lanka","Colombo (RPS)","10 Oct 2007"
"59","11","32","25","1","0","44.00","3","caught","2","v Sri Lanka","Colombo (RPS)","13 Oct 2007"
"60","5","17","16","1","0","31.25","3","bowled","1","v New Zealand","Wellington","9 Feb 2008"
"61","0","1","1","0","0","0.00","3","caught","1","v New Zealand","Hamilton","12 Feb 2008"
"62","73","112","89","10","0","82.02","3","lbw","2","v New Zealand","Auckland","15 Feb 2008"
"63","43","51","41","5","0","104.87","3","caught","1","v New Zealand","Napier","20 Feb 2008"
"64","24","53","34","4","0","70.58","3","caught","1","v New Zealand","Christchurch","23 Feb 2008"
"65","46","83","58","5","1","79.31","1","run out","1","v New Zealand","Chester-le-Street","15 Jun 2008"
"66","0","1","3","0","0","0.00","1","caught","1","v New Zealand","Birmingham","18 Jun 2008"
"67","20","69","43","3","0","46.51","1","caught","2","v New Zealand","Bristol","21 Jun 2008"
"68","46","82","56","5","1","82.14","1","caught","1","v New Zealand","The Oval","25 Jun 2008"
"69","27","46","34","5","0","79.41","1","lbw","2","v New Zealand","Lord's","28 Jun 2008"
"70","6*","11","11","1","0","54.54","1","not out","2","v Scotland","Edinburgh","18 Aug 2008"
"71","35","84","69","0","0","50.72","1","caught","1","v South Africa","Leeds","22 Aug 2008"
"72","28*","61","51","4","0","54.90","1","not out","2","v South Africa","Nottingham","26 Aug 2008"
"73","73","107","77","11","1","94.80","1","lbw","1","v South Africa","The Oval","29 Aug 2008"
"74","13","23","16","1","0","81.25","1","caught","2","v South Africa","Lord's","31 Aug 2008"
"75","TDNB","-","-","-","-","-","-","-","-","v South Africa","Cardiff","3 Sep 2008"
"76","25","47","35","3","0","71.42","1","caught","2","v India","Rajkot","14 Nov 2008"
"77","1","3","3","0","0","33.33","1","run out","2","v India","Indore","17 Nov 2008"
"78","46","64","47","8","0","97.87","2","caught","1","v India","Kanpur","20 Nov 2008"
"79","12","36","15","1","0","80.00","2","bowled","2","v India","Bangalore","23 Nov 2008"
"80","84*","123","101","6","0","83.16","3","not out","2","v Bangladesh","Nottingham","8 Jul 2010"
"81","0*","3","0","0","0","-","11","not out","2","v Bangladesh","Bristol","10 Jul 2010"
"82","27","58","41","2","0","65.85","4","caught","2","v Pakistan","Lord's","20 Sep 2010"
"83","28","78","52","2","0","53.84","4","bowled","1","v Pakistan","Southampton","22 Sep 2010"
"84","23","38","32","1","0","71.87","5","caught","1","v Australia","Melbourne","16 Jan 2011"
"85","32","75","61","2","0","52.45","5","caught","2","v Australia","Hobart","21 Jan 2011"
"86","10","21","16","1","0","62.50","4","caught","1","v Australia","Sydney","23 Jan 2011"
"87","0","1","2","0","0","0.00","5","caught","1","v Australia","Adelaide","26 Jan 2011"
"88","36","77","61","1","0","59.01","5","bowled","2","v Australia","Brisbane","30 Jan 2011"
"89","45","57","32","5","0","140.62","5","caught","1","v Australia","Sydney","2 Feb 2011"
"90","8","24","16","1","0","50.00","5","caught","2","v Australia","Perth","6 Feb 2011"
"91","33","61","40","1","0","82.50","4","bowled","2","v Netherlands","Nagpur","22 Feb 2011"
"92","69","108","71","4","1","97.18","4","caught","2","v India","Bangalore","27 Feb 2011"
"93","81","102","86","6","1","94.18","4","caught","1","v Ireland","Bangalore","2 Mar 2011"
"94","5","14","7","1","0","71.42","4","caught","1","v South Africa","Chennai","6 Mar 2011"
"95","5","19","23","0","0","21.73","4","caught","1","v Bangladesh","Chittagong","11 Mar 2011"
"96","27","58","48","1","0","56.25","4","bowled","1","v West Indies","Chennai","17 Mar 2011"
"97","25","36","32","3","0","78.12","2","caught","1","v Sri Lanka","Colombo (RPS)","26 Mar 2011"
"98","12","23","16","1","0","75.00","6","lbw","1","v Sri Lanka","The Oval","28 Jun 2011"
"99","35","68","47","2","0","74.46","6","caught","2","v Sri Lanka","Leeds","1 Jul 2011"
"100","30","63","46","0","0","65.21","6","caught","1","v Sri Lanka","Lord's","3 Jul 2011"
"101","DNB","-","-","-","-","-","-","-","2","v Sri Lanka","Nottingham","6 Jul 2011"
"102","4","8","8","0","0","50.00","6","caught","1","v Sri Lanka","Manchester","9 Jul 2011"
"103","2*","2","1","0","0","200.00","4","not out","2","v India","Chester-le-Street","3 Sep 2011"
"104","25","18","16","4","0","156.25","3","caught","2","v India","Southampton","6 Sep 2011"
"105","23","31","25","2","0","92.00","4","run out","2","v India","The Oval","9 Sep 2011"
"106","54","97","73","3","0","73.97","4","caught","2","v India","Lord's","11 Sep 2011"
"107","26","26","21","0","2","123.80","4","caught","2","v India","Cardiff","16 Sep 2011"
"108","2","6","6","0","0","33.33","4","caught","2","v India","Kolkata","25 Oct 2011"
"109","126","178","117","12","1","107.69","2","caught","1","v West Indies","Southampton","16 Jun 2012"
"110","53","97","64","7","0","82.81","2","caught","2","v West Indies","The Oval","19 Jun 2012"
"111","41","91","58","5","0","70.68","2","lbw","1","v Australia","Lord's","29 Jun 2012"
"112","75","154","113","6","1","66.37","2","bowled","2","v Australia","The Oval","1 Jul 2012"
"113","69","134","94","9","0","73.40","2","bowled","2","v Australia","Chester-le-Street","7 Jul 2012"
"114","4","4","4","0","0","100.00","2","caught","2","v Australia","Manchester","10 Jul 2012"
"115","26*","24","18","2","2","144.44","2","not out","1","v South Africa","Cardiff","24 Aug 2012"
"116","45","74","41","5","0","109.75","2","bowled","2","v South Africa","Southampton","28 Aug 2012"
"117","12","8","7","3","0","171.42","2","lbw","2","v South Africa","The Oval","31 Aug 2012"
"118","88","197","137","8","1","64.23","2","caught","2","v South Africa","Lord's","2 Sep 2012"
"119","10","19","11","2","0","90.90","2","lbw","1","v South Africa","Nottingham","5 Sep 2012"
"120","85","111","96","9","1","88.54","2","run out","1","v India","Rajkot","11 Jan 2013"
"121","1","5","6","0","0","16.66","2","caught","2","v India","Kochi","15 Jan 2013"
"122","25","68","43","3","0","58.13","2","caught","1","v India","Ranchi","19 Jan 2013"
"123","10","42","25","2","0","40.00","2","caught","1","v India","Mohali","23 Jan 2013"
"124","113*","197","143","13","1","79.02","2","not out","2","v India","Dharamsala","27 Jan 2013"
