"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","2","6","3","0","0","66.66","7","caught","1","v South Africa","Centurion","24 Mar 2002"
"2","8","15","14","1","0","57.14","7","caught","2","v South Africa","Potchefstroom","27 Mar 2002"
"3","11","15","13","1","0","84.61","8","run out","2","v South Africa","Port Elizabeth","6 Apr 2002"
"4","16","35","26","1","0","61.53","3","lbw","2","v South Africa","Cape Town","9 Apr 2002"
"5","DNB","-","-","-","-","-","-","-","2","v Pakistan","Melbourne (Docklands)","12 Jun 2002"
"6","8","24","28","0","0","28.57","7","lbw","1","v Pakistan","Melbourne (Docklands)","15 Jun 2002"
"7","44*","123","78","4","0","56.41","7","not out","2","v Pakistan","Brisbane","19 Jun 2002"
"8","10*","8","6","0","1","166.66","7","not out","1","v Pakistan","Nairobi (Gym)","30 Aug 2002"
"9","DNB","-","-","-","-","-","-","-","2","v Kenya","Nairobi (Gym)","2 Sep 2002"
"10","DNB","-","-","-","-","-","-","-","2","v Pakistan","Nairobi (Gym)","4 Sep 2002"
"11","77*","171","113","4","2","68.14","4","not out","2","v Kenya","Nairobi (Gym)","5 Sep 2002"
"12","DNB","-","-","-","-","-","-","-","2","v Pakistan","Nairobi (Gym)","7 Sep 2002"
"13","19*","14","9","1","1","211.11","7","not out","1","v New Zealand","Colombo (SSC)","15 Sep 2002"
"14","DNB","-","-","-","-","-","-","-","2","v Bangladesh","Colombo (SSC)","19 Sep 2002"
"15","7","28","26","0","0","26.92","7","caught","1","v Sri Lanka","Colombo (RPS)","27 Sep 2002"
"16","DNB","-","-","-","-","-","-","-","2","v England","Sydney","13 Dec 2002"
"17","9","13","12","0","0","75.00","7","caught","1","v England","Melbourne","15 Dec 2002"
"18","25*","29","22","0","0","113.63","7","not out","1","v Sri Lanka","Perth","22 Dec 2002"
"19","35*","40","35","3","0","100.00","9","not out","2","v Sri Lanka","Sydney","9 Jan 2003"
"20","DNB","-","-","-","-","-","-","-","1","v England","Hobart","11 Jan 2003"
"21","4","20","10","0","0","40.00","7","caught","2","v Sri Lanka","Brisbane","15 Jan 2003"
"22","13*","42","30","0","0","43.33","8","not out","2","v England","Adelaide","19 Jan 2003"
