"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","4.0","0","28","0","7.00","4","1","v England","Bristol","28 Aug 2006"
"2","1.3","0","19","0","12.66","5","2","v South Africa","Johannesburg","2 Feb 2007"
"3","4.0","0","26","2","6.50","4","2","v Bangladesh","Nairobi (Gym)","2 Sep 2007"
"4","4.0","0","19","4","4.75","4","2","v Scotland","Durban","12 Sep 2007"
"5","4.0","0","37","2","9.25","5","1","v India","Durban","14 Sep 2007"
"6","4.0","0","18","3","4.50","4","2","v Sri Lanka","Johannesburg","17 Sep 2007"
"7","4.0","1","35","1","8.75","3","1","v Australia","Johannesburg","18 Sep 2007"
"8","4.0","0","25","1","6.25","3","1","v Bangladesh","Cape Town","20 Sep 2007"
"9","4.0","0","24","1","6.00","3","1","v New Zealand","Cape Town","22 Sep 2007"
"10","4.0","0","30","0","7.50","3","1","v India","Johannesburg","24 Sep 2007"
"11","4.0","0","19","1","4.75","4","2","v Bangladesh","Karachi","20 Apr 2008"
"12","4.0","1","13","1","3.25","4","2","v Canada","King City (NW)","10 Oct 2008"
"13","4.0","0","20","1","5.00","4","1","v Sri Lanka","King City (NW)","11 Oct 2008"
"14","4.0","0","23","1","5.75","4","1","v Zimbabwe","King City (NW)","12 Oct 2008"
"15","4.0","0","15","1","3.75","5","2","v Sri Lanka","King City (NW)","13 Oct 2008"
"16","4.0","1","14","3","3.50","5","1","v Australia","Dubai (DSC)","7 May 2009"
"17","4.0","0","36","0","9.00","5","1","v England","The Oval","7 Jun 2009"
"18","4.0","0","11","4","2.75","5","2","v Netherlands","Lord's","9 Jun 2009"
"19","4.0","0","23","2","5.75","4","1","v Sri Lanka","Lord's","12 Jun 2009"
"20","4.0","0","17","1","4.25","4","1","v New Zealand","The Oval","13 Jun 2009"
"21","4.0","0","26","1","6.50","3","2","v Ireland","The Oval","15 Jun 2009"
"22","4.0","0","16","2","4.00","3","2","v South Africa","Nottingham","18 Jun 2009"
"23","4.0","0","20","1","5.00","3","1","v Sri Lanka","Lord's","21 Jun 2009"
"24","4.0","0","21","1","5.25","5","2","v Sri Lanka","Colombo (RPS)","12 Aug 2009"
"25","3.3","0","21","2","6.00","5","2","v New Zealand","Dubai (DSC)","12 Nov 2009"
"26","3.0","0","21","1","7.00","5","2","v New Zealand","Dubai (DSC)","13 Nov 2009"
"27","4.0","0","27","0","6.75","3","1","v England","Dubai (DSC)","20 Feb 2010"
"28","4.0","0","37","0","9.25","6","2","v Bangladesh","Gros Islet","1 May 2010"
"29","4.0","0","33","0","8.25","4","1","v Australia","Gros Islet","2 May 2010"
"30","4.0","0","28","1","7.00","6","2","v England","Bridgetown","6 May 2010"
"31","4.0","0","29","2","7.25","5","1","v New Zealand","Bridgetown","8 May 2010"
"32","4.0","0","21","0","5.25","5","2","v South Africa","Gros Islet","10 May 2010"
"33","4.0","0","34","1","8.50","5","2","v Australia","Gros Islet","14 May 2010"
"34","4.0","0","26","1","6.50","4","2","v Australia","Birmingham","5 Jul 2010"
"35","4.0","0","30","2","7.50","5","2","v Australia","Birmingham","6 Jul 2010"
"36","4.0","0","27","2","6.75","4","2","v England","Cardiff","5 Sep 2010"
"37","3.0","0","15","1","5.00","4","2","v England","Cardiff","7 Sep 2010"
"38","2.0","0","23","0","11.50","6","2","v South Africa","Abu Dhabi","26 Oct 2010"
"39","4.0","0","13","1","3.25","4","2","v South Africa","Abu Dhabi","27 Oct 2010"
"40","3.0","0","19","0","6.33","6","2","v New Zealand","Auckland","26 Dec 2010"
"41","4.0","0","22","1","5.50","5","1","v New Zealand","Hamilton","28 Dec 2010"
"42","2.5","0","14","4","4.94","5","2","v New Zealand","Christchurch","30 Dec 2010"
"43","3.0","0","30","0","10.00","5","1","v West Indies","Gros Islet","21 Apr 2011"
"44","4.0","0","21","0","5.25","5","1","v Sri Lanka","Abu Dhabi","25 Nov 2011"
"45","4.0","0","15","1","3.75","4","2","v Bangladesh","Dhaka","29 Nov 2011"
"46","4.0","0","27","1","6.75","4","2","v England","Dubai (DSC)","23 Feb 2012"
"47","3.0","0","28","1","9.33","5","1","v England","Dubai (DSC)","25 Feb 2012"
"48","4.0","0","19","0","4.75","5","1","v England","Abu Dhabi","27 Feb 2012"
"49","2.0","0","9","0","4.50","4","1","v Sri Lanka","Hambantota","1 Jun 2012"
"50","4.0","0","17","2","4.25","4","2","v Sri Lanka","Hambantota","3 Jun 2012"
"51","4.0","0","30","1","7.50","5","2","v New Zealand","Pallekele","23 Sep 2012"
"52","4.0","0","20","1","5.00","4","1","v Bangladesh","Pallekele","25 Sep 2012"
"53","4.0","0","26","0","6.50","5","1","v South Africa","Colombo (RPS)","28 Sep 2012"
"54","4.0","0","34","1","8.50","4","2","v India","Colombo (RPS)","30 Sep 2012"
"55","4.0","0","33","0","8.25","4","2","v Australia","Colombo (RPS)","2 Oct 2012"
"56","4.0","0","28","1","7.00","4","1","v Sri Lanka","Colombo (RPS)","4 Oct 2012"
"57","3.0","0","26","1","8.66","5","1","v India","Bangalore","25 Dec 2012"
"58","3.0","0","33","0","11.00","5","1","v India","Ahmedabad","28 Dec 2012"
"59","DNB","-","-","-","-","-","2","v South Africa","Centurion","3 Mar 2013"
"60","4.0","0","24","0","6.00","5","1","v West Indies","Kingstown","27 Jul 2013"
"61","3.0","0","29","1","9.66","4","2","v West Indies","Kingstown","28 Jul 2013"
"62","4.0","0","25","3","6.25","5","2","v Zimbabwe","Harare","23 Aug 2013"
"63","3.0","0","24","0","8.00","5","2","v Zimbabwe","Harare","24 Aug 2013"
"64","2.3","0","16","0","6.40","5","2","v South Africa","Dubai (DSC)","13 Nov 2013"
"65","4.0","0","43","0","10.75","7","1","v South Africa","Dubai (DSC)","15 Nov 2013"
"66","4.0","0","14","1","3.50","6","1","v South Africa","Johannesburg","20 Nov 2013"
"67","4.0","0","28","3","7.00","6","2","v South Africa","Cape Town","22 Nov 2013"
"68","2.0","0","24","1","12.00","5","1","v Afghanistan","Sharjah","8 Dec 2013"
"69","4.0","0","20","1","5.00","6","1","v Sri Lanka","Dubai (DSC)","11 Dec 2013"
"70","2.0","0","25","0","12.50","6","1","v Sri Lanka","Dubai (DSC)","13 Dec 2013"
"71","3.0","0","24","0","8.00","5","2","v India","Dhaka","21 Mar 2014"
"72","4.0","0","30","2","7.50","5","2","v Australia","Dhaka","23 Mar 2014"
"73","4.0","0","21","1","5.25","6","2","v Bangladesh","Dhaka","30 Mar 2014"
"74","4.0","0","23","1","5.75","4","1","v West Indies","Dhaka","1 Apr 2014"
"75","4.0","0","17","1","4.25","3","2","v Australia","Dubai (DSC)","5 Oct 2014"
"76","4.0","0","27","1","6.75","6","1","v New Zealand","Dubai (DSC)","4 Dec 2014"
"77","4.0","0","33","2","8.25","6","1","v New Zealand","Dubai (DSC)","5 Dec 2014"
"78","3.0","0","25","0","8.33","6","2","v Bangladesh","Dhaka","24 Apr 2015"
"79","3.0","0","28","0","9.33","5","1","v Zimbabwe","Lahore","22 May 2015"
"80","4.0","0","36","1","9.00","5","1","v Zimbabwe","Lahore","24 May 2015"
"81","4.0","0","31","0","7.75","4","2","v Sri Lanka","Colombo (RPS)","30 Jul 2015"
"82","4.0","0","30","1","7.50","5","1","v Sri Lanka","Colombo (RPS)","1 Aug 2015"
"83","3.0","0","23","0","7.66","5","2","v Zimbabwe","Harare","27 Sep 2015"
"84","4.0","0","26","0","6.50","4","2","v Zimbabwe","Harare","29 Sep 2015"
"85","4.0","0","33","0","8.25","4","1","v England","Dubai (DSC)","26 Nov 2015"
