"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","4.0","0","22","1","5.50","4","2","v Sri Lanka","Colombo (RPS)","2 Aug 2013"
"2","4.0","0","21","1","5.25","5","2","v Sri Lanka","Hambantota","4 Aug 2013"
"3","4.0","0","20","1","5.00","4","2","v Sri Lanka","Hambantota","6 Aug 2013"
"4","4.0","0","17","2","4.25","5","1","v Pakistan","Dubai (DSC)","13 Nov 2013"
"5","4.0","0","21","2","5.25","6","2","v Pakistan","Dubai (DSC)","15 Nov 2013"
"6","1.0","0","8","0","8.00","5","2","v Pakistan","Johannesburg","20 Nov 2013"
"7","4.0","0","21","2","5.25","5","2","v Australia","Centurion","14 Mar 2014"
"8","4.0","0","26","3","6.50","6","1","v Sri Lanka","Chittagong","22 Mar 2014"
"9","4.0","0","27","2","6.75","6","2","v New Zealand","Chittagong","24 Mar 2014"
"10","4.0","0","21","4","5.25","5","2","v Netherlands","Chittagong","27 Mar 2014"
"11","4.0","0","27","2","6.75","6","2","v England","Chittagong","29 Mar 2014"
"12","4.0","0","30","1","7.50","6","2","v India","Dhaka","4 Apr 2014"
"13","4.0","0","31","1","7.75","6","1","v Australia","Adelaide","5 Nov 2014"
"14","2.0","0","18","0","9.00","5","2","v Australia","Melbourne","7 Nov 2014"
"15","4.0","0","28","3","7.00","5","2","v West Indies","Cape Town","9 Jan 2015"
"16","4.0","0","29","0","7.25","5","2","v West Indies","Johannesburg","11 Jan 2015"
"17","3.0","0","35","0","11.66","5","1","v India","Dharamsala","2 Oct 2015"
"18","4.0","0","24","2","6.00","2","1","v India","Cuttack","5 Oct 2015"
