"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","4.0","0","17","1","4.25","2","1","v Pakistan","Dubai (DSC)","7 Sep 2012"
"2","3.1","0","11","3","3.47","2","2","v Pakistan","Dubai (DSC)","10 Sep 2012"
"3","4.0","0","20","2","5.00","2","1","v Ireland","Colombo (RPS)","19 Sep 2012"
"4","4.0","0","35","3","8.75","2","1","v West Indies","Colombo (RPS)","22 Sep 2012"
"5","4.0","0","27","1","6.75","2","1","v India","Colombo (RPS)","28 Sep 2012"
"6","4.0","0","30","0","7.50","2","1","v South Africa","Colombo (RPS)","30 Sep 2012"
"7","4.0","0","20","3","5.00","2","1","v Pakistan","Colombo (RPS)","2 Oct 2012"
"8","4.0","0","32","1","8.00","1","1","v West Indies","Colombo (RPS)","5 Oct 2012"
"9","4.0","0","19","1","4.75","2","2","v Sri Lanka","Sydney","26 Jan 2013"
"10","4.0","0","35","0","8.75","2","1","v Sri Lanka","Melbourne","28 Jan 2013"
"11","4.0","0","19","1","4.75","3","1","v England","Melbourne","31 Jan 2014"
"12","2.2","0","8","1","3.42","1","2","v England","Sydney","2 Feb 2014"
"13","2.0","0","24","0","12.00","1","1","v South Africa","Durban","12 Mar 2014"
"14","4.0","1","16","2","4.00","1","1","v South Africa","Centurion","14 Mar 2014"
"15","4.0","0","35","1","8.75","1","1","v Pakistan","Dhaka","23 Mar 2014"
"16","4.0","0","50","2","12.50","2","2","v West Indies","Dhaka","28 Mar 2014"
"17","4.0","0","36","1","9.00","3","1","v India","Dhaka","30 Mar 2014"
"18","4.0","0","25","1","6.25","1","1","v Bangladesh","Dhaka","1 Apr 2014"
"19","4.0","0","17","1","4.25","2","1","v Pakistan","Dubai (DSC)","5 Oct 2014"
"20","4.0","0","32","1","8.00","1","1","v England","Cardiff","31 Aug 2015"
