"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","3.0","0","25","0","8.33","2","2","v England","Southampton","15 Jun 2006"
"2","3.0","0","15","0","5.00","1","2","v New Zealand","Auckland","26 Dec 2006"
"3","3.0","0","13","2","4.33","4","2","v Kenya","Johannesburg","14 Sep 2007"
"4","4.0","0","28","1","7.00","5","1","v New Zealand","Johannesburg","15 Sep 2007"
"5","4.0","0","43","3","10.75","3","1","v Pakistan","Johannesburg","17 Sep 2007"
"6","2.0","0","8","1","4.00","5","2","v Bangladesh","Johannesburg","18 Sep 2007"
"7","1.0","0","8","0","8.00","5","2","v Australia","Cape Town","20 Sep 2007"
"8","3.2","0","38","0","11.40","1","2","v India","Colombo (RPS)","10 Feb 2009"
"9","4.0","0","36","3","9.00","4","1","v Australia","Nottingham","8 Jun 2009"
"10","4.0","0","45","2","11.25","2","2","v West Indies","Nottingham","10 Jun 2009"
"11","4.0","0","17","3","4.25","3","2","v Pakistan","Lord's","12 Jun 2009"
"12","4.0","0","19","2","4.75","4","2","v Ireland","Lord's","14 Jun 2009"
"13","3.0","0","26","1","8.66","4","2","v New Zealand","Nottingham","16 Jun 2009"
"14","2.4","0","24","1","9.00","3","2","v West Indies","The Oval","19 Jun 2009"
"15","3.4","0","14","0","3.81","3","2","v Pakistan","Lord's","21 Jun 2009"
"16","4.0","0","28","1","7.00","3","1","v Pakistan","Colombo (RPS)","12 Aug 2009"
"17","4.0","0","21","2","5.25","2","1","v New Zealand","Colombo (RPS)","2 Sep 2009"
"18","4.0","0","35","1","8.75","2","1","v New Zealand","Colombo (RPS)","4 Sep 2009"
"19","2.0","0","29","0","14.50","3","2","v India","Nagpur","9 Dec 2009"
"20","4.0","0","28","1","7.00","3","2","v India","Mohali","12 Dec 2009"
"21","3.5","0","33","0","8.60","4","2","v New Zealand","Providence","30 Apr 2010"
"22","1.0","0","6","0","6.00","2","2","v Zimbabwe","Providence","3 May 2010"
"23","4.0","0","28","3","7.00","6","2","v West Indies","Bridgetown","7 May 2010"
"24","4.0","0","40","0","10.00","4","1","v Australia","Bridgetown","9 May 2010"
"25","4.0","0","25","2","6.25","4","1","v India","Gros Islet","11 May 2010"
"26","4.0","0","33","1","8.25","5","2","v England","Gros Islet","13 May 2010"
"27","4.0","0","25","1","6.25","3","1","v New Zealand","Lauderhill","22 May 2010"
"28","2.3","0","12","3","4.80","3","1","v New Zealand","Lauderhill","23 May 2010"
"29","4.0","0","26","1","6.50","2","1","v Australia","Perth","31 Oct 2010"
"30","4.0","0","15","2","3.75","3","1","v England","Bristol","25 Jun 2011"
"31","3.3","0","32","1","9.14","1","2","v Pakistan","Abu Dhabi","25 Nov 2011"
"32","3.0","0","12","2","4.00","2","2","v Pakistan","Hambantota","1 Jun 2012"
"33","4.0","0","31","0","7.75","3","1","v India","Pallekele","7 Aug 2012"
"34","2.3","0","20","1","8.00","2","2","v Zimbabwe","Hambantota","18 Sep 2012"
"35","2.0","0","27","1","13.50","2","1","v South Africa","Hambantota","22 Sep 2012"
"36","4.0","0","30","1","7.50","3","1","v New Zealand","Pallekele","27 Sep 2012"
"37","4.0","0","26","0","6.50","3","1","v West Indies","Pallekele","29 Sep 2012"
"38","4.0","0","31","5","7.75","3","2","v England","Pallekele","1 Oct 2012"
"39","4.0","0","19","0","4.75","3","2","v Pakistan","Colombo (RPS)","4 Oct 2012"
"40","4.0","0","54","0","13.50","3","1","v West Indies","Colombo (RPS)","7 Oct 2012"
"41","4.0","0","19","0","4.75","3","1","v Australia","Sydney","26 Jan 2013"
"42","3.0","0","26","0","8.66","4","2","v Australia","Melbourne","28 Jan 2013"
"43","4.0","0","27","1","6.75","3","2","v Bangladesh","Pallekele","31 Mar 2013"
"44","4.0","0","25","1","6.25","1","1","v South Africa","Colombo (RPS)","2 Aug 2013"
"45","4.0","0","32","1","8.00","2","1","v South Africa","Hambantota","4 Aug 2013"
"46","4.0","0","33","1","8.25","1","1","v New Zealand","Pallekele","21 Nov 2013"
"47","4.0","0","26","3","6.50","1","2","v Pakistan","Dubai (DSC)","11 Dec 2013"
"48","4.0","0","30","1","7.50","1","2","v Pakistan","Dubai (DSC)","13 Dec 2013"
"49","4.0","0","34","1","8.50","1","2","v Bangladesh","Chittagong","12 Feb 2014"
"50","3.5","0","20","3","5.21","4","1","v Bangladesh","Chittagong","14 Feb 2014"
"51","4.0","0","29","1","7.25","4","2","v South Africa","Chittagong","22 Mar 2014"
"52","2.0","0","5","2","2.50","3","1","v Netherlands","Chittagong","24 Mar 2014"
"53","4.0","0","31","0","7.75","3","2","v England","Chittagong","27 Mar 2014"
"54","2.0","0","13","0","6.50","4","2","v New Zealand","Chittagong","31 Mar 2014"
"55","2.0","0","5","2","2.50","3","2","v West Indies","Dhaka","3 Apr 2014"
"56","4.0","0","27","0","6.75","4","1","v India","Dhaka","6 Apr 2014"
"57","4.0","0","28","3","7.00","5","2","v England","The Oval","20 May 2014"
"58","4.0","0","46","1","11.50","3","1","v Pakistan","Colombo (RPS)","30 Jul 2015"
"59","4.0","0","40","1","10.00","6","2","v Pakistan","Colombo (RPS)","1 Aug 2015"
"60","4.0","0","19","2","4.75","1","2","v West Indies","Pallekele","9 Nov 2015"
"61","4.0","0","16","2","4.00","1","1","v West Indies","Colombo (RPS)","11 Nov 2015"
