"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","8.3","0","45","2","5.29","2","2","v West Indies","Basseterre","11 Jul 2012"
"2","10.0","2","47","1","4.70","2","1","v West Indies","Basseterre","14 Jul 2012"
"3","8.0","0","29","0","3.62","2","1","v West Indies","Basseterre","16 Jul 2012"
"4","6.0","0","26","1","4.33","2","2","v Sri Lanka","Pallekele","4 Nov 2012"
"5","5.0","0","29","0","5.80","2","2","v Sri Lanka","Pallekele","6 Nov 2012"
"6","7.0","0","32","1","4.57","1","2","v Sri Lanka","Hambantota","10 Nov 2012"
"7","5.0","0","23","1","4.60","1","1","v Sri Lanka","Hambantota","12 Nov 2012"
"8","9.0","1","55","0","6.11","2","2","v England","Napier","20 Feb 2013"
"9","10.0","2","40","2","4.00","2","2","v South Africa","Mount Maunganui","21 Oct 2014"
"10","10.0","0","70","2","7.00","1","1","v South Africa","Mount Maunganui","24 Oct 2014"
"11","10.0","1","46","0","4.60","1","1","v Sri Lanka","Christchurch","11 Jan 2015"
"12","10.0","1","52","0","5.20","1","2","v Sri Lanka","Hamilton","15 Jan 2015"
"13","10.0","0","44","4","4.40","2","2","v Sri Lanka","Dunedin","23 Jan 2015"
"14","8.0","2","31","1","3.87","2","2","v Sri Lanka","Dunedin","25 Jan 2015"
"15","9.0","0","25","2","2.77","2","1","v Pakistan","Wellington","31 Jan 2015"
"16","8.1","0","35","1","4.28","2","2","v Pakistan","Napier","3 Feb 2015"
"17","10.0","0","64","2","6.40","2","2","v Sri Lanka","Christchurch","14 Feb 2015"
"18","6.0","1","21","2","3.50","2","1","v Scotland","Dunedin","17 Feb 2015"
"19","10.0","2","32","1","3.20","2","1","v England","Wellington","20 Feb 2015"
"20","10.0","3","27","5","2.70","2","1","v Australia","Auckland","28 Feb 2015"
"21","10.0","2","34","3","3.40","2","1","v Afghanistan","Napier","8 Mar 2015"
"22","10.0","3","56","2","5.60","2","1","v Bangladesh","Hamilton","13 Mar 2015"
"23","10.0","3","44","4","4.40","2","2","v West Indies","Wellington","21 Mar 2015"
"24","9.0","0","53","2","5.88","2","1","v South Africa","Auckland","24 Mar 2015"
"25","10.0","0","40","1","4.00","2","2","v Australia","Melbourne","29 Mar 2015"
"26","10.0","0","55","4","5.50","1","1","v England","Birmingham","9 Jun 2015"
"27","10.0","1","53","2","5.30","2","2","v England","The Oval","12 Jun 2015"
