"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","10.0","0","39","1","3.90","5","1","v Zimbabwe","Harare","6 Aug 2006"
"2","10.0","1","32","2","3.20","6","1","v Kenya","Nairobi (Gym)","12 Aug 2006"
"3","6.3","1","26","1","4.00","6","1","v Kenya","Nairobi (Gym)","13 Aug 2006"
"4","8.0","0","28","0","3.50","6","1","v Kenya","Nairobi (Gym)","15 Aug 2006"
"5","2.0","0","23","0","11.50","6","1","v Sri Lanka","Mohali","7 Oct 2006"
"6","5.0","0","12","0","2.40","5","2","v West Indies","Jaipur","11 Oct 2006"
"7","10.0","1","18","3","1.80","5","2","v Zimbabwe","Jaipur","13 Oct 2006"
"8","10.0","2","30","2","3.00","5","1","v Zimbabwe","Khulna","30 Nov 2006"
"9","10.0","0","44","2","4.40","5","1","v Zimbabwe","Bogra","3 Dec 2006"
"10","10.0","0","40","0","4.00","5","2","v Zimbabwe","Bogra","5 Dec 2006"
"11","10.0","1","32","2","3.20","5","1","v Zimbabwe","Dhaka","8 Dec 2006"
"12","7.0","0","29","0","4.14","4","1","v Zimbabwe","Dhaka","9 Dec 2006"
"13","10.0","4","13","1","1.30","5","1","v Scotland","Chittagong","15 Dec 2006"
"14","4.0","0","8","1","2.00","5","2","v Scotland","Dhaka","17 Dec 2006"
"15","10.0","0","40","1","4.00","5","2","v Zimbabwe","Harare","4 Feb 2007"
"16","6.0","0","27","1","4.50","5","2","v Zimbabwe","Harare","6 Feb 2007"
"17","10.0","0","29","1","2.90","5","2","v Zimbabwe","Harare","9 Feb 2007"
"18","10.0","0","42","1","4.20","6","1","v Zimbabwe","Harare","10 Feb 2007"
"19","8.0","1","36","1","4.50","4","1","v Bermuda","St John's","25 Feb 2007"
"20","10.0","1","36","2","3.60","6","2","v Canada","St John's","28 Feb 2007"
"21","10.0","0","44","0","4.40","4","1","v India","Port of Spain","17 Mar 2007"
"22","10.0","0","49","1","4.90","5","1","v Sri Lanka","Port of Spain","21 Mar 2007"
"23","3.0","0","12","2","4.00","5","1","v Bermuda","Port of Spain","25 Mar 2007"
"24","0.5","0","14","0","16.80","6","2","v Australia","North Sound","31 Mar 2007"
"25","3.0","0","33","0","11.00","5","2","v New Zealand","North Sound","2 Apr 2007"
"26","10.0","0","49","2","4.90","5","2","v South Africa","Providence","7 Apr 2007"
"27","6.0","0","19","0","3.16","5","2","v England","Bridgetown","11 Apr 2007"
"28","10.0","0","44","1","4.40","5","1","v Ireland","Bridgetown","15 Apr 2007"
"29","8.0","0","38","1","4.75","5","1","v West Indies","Bridgetown","19 Apr 2007"
"30","9.0","0","43","2","4.77","5","2","v India","Dhaka","10 May 2007"
"31","7.0","0","40","0","5.71","4","1","v India","Dhaka","12 May 2007"
"32","8.0","0","50","0","6.25","5","1","v Sri Lanka","Colombo (PSS)","20 Jul 2007"
