"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","10.0","1","41","4","4.10","5","1","v West Indies","Delhi","24 Feb 2011"
"2","6.5","0","19","3","2.78","4","2","v Netherlands","Mohali","3 Mar 2011"
"3","8.4","1","38","4","4.38","5","1","v England","Chennai","6 Mar 2011"
"4","5.0","0","20","1","4.00","5","2","v Bangladesh","Dhaka","19 Mar 2011"
"5","9.0","0","32","2","3.55","5","1","v New Zealand","Dhaka","25 Mar 2011"
"6","10.0","1","45","3","4.50","4","2","v Pakistan","Sharjah","30 Oct 2013"
"7","10.0","1","28","1","2.80","4","1","v Pakistan","Dubai (DSC)","1 Nov 2013"
"8","10.0","1","53","4","5.30","4","2","v Pakistan","Abu Dhabi","6 Nov 2013"
"9","8.0","0","51","1","6.37","5","2","v Pakistan","Abu Dhabi","8 Nov 2013"
"10","7.0","1","30","0","4.28","5","1","v Pakistan","Cape Town","24 Nov 2013"
"11","8.0","0","33","1","4.12","5","1","v Pakistan","Port Elizabeth","27 Nov 2013"
"12","10.0","0","56","2","5.60","5","1","v Pakistan","Centurion","30 Nov 2013"
"13","TDNB","-","-","-","-","-","-","v India","Centurion","11 Dec 2013"
"14","7.0","0","50","3","7.14","5","2","v Sri Lanka","Colombo (RPS)","6 Jul 2014"
"15","10.0","1","41","2","4.10","6","1","v Sri Lanka","Pallekele","9 Jul 2014"
"16","10.0","0","29","1","2.90","5","2","v Sri Lanka","Hambantota","12 Jul 2014"
"17","10.0","1","44","3","4.40","5","2","v Zimbabwe","Bulawayo","17 Aug 2014"
"18","9.1","1","26","2","2.83","6","2","v Zimbabwe","Bulawayo","19 Aug 2014"
"19","10.0","0","45","2","4.50","5","1","v Australia","Harare","27 Aug 2014"
"20","8.0","0","32","1","4.00","5","2","v Zimbabwe","Harare","29 Aug 2014"
"21","10.0","0","42","1","4.20","5","1","v Australia","Harare","2 Sep 2014"
"22","10.0","0","40","1","4.00","5","1","v Australia","Harare","6 Sep 2014"
"23","10.0","1","37","2","3.70","4","1","v New Zealand","Mount Maunganui","21 Oct 2014"
"24","8.0","0","32","2","4.00","6","2","v New Zealand","Mount Maunganui","24 Oct 2014"
"25","10.0","0","54","1","5.40","5","1","v Australia","Perth","14 Nov 2014"
"26","9.0","0","37","0","4.11","5","1","v Australia","Perth","16 Nov 2014"
"27","6.0","0","40","0","6.66","5","1","v Australia","Canberra","19 Nov 2014"
"28","6.0","0","30","3","5.00","5","2","v West Indies","Durban","16 Jan 2015"
"29","10.0","0","60","1","6.00","5","2","v West Indies","Johannesburg","18 Jan 2015"
"30","7.4","0","28","4","3.65","6","1","v West Indies","East London","21 Jan 2015"
"31","10.0","0","36","3","3.60","6","2","v Zimbabwe","Hamilton","15 Feb 2015"
"32","10.0","0","48","1","4.80","5","1","v India","Melbourne","22 Feb 2015"
"33","10.0","2","45","5","4.50","4","2","v West Indies","Sydney","27 Feb 2015"
"34","10.0","1","50","0","5.00","4","2","v Ireland","Canberra","3 Mar 2015"
"35","9.0","1","38","1","4.22","4","1","v Pakistan","Auckland","7 Mar 2015"
"36","10.0","0","40","1","4.00","6","2","v U.A.E.","Wellington","12 Mar 2015"
"37","8.2","0","26","4","3.12","5","1","v Sri Lanka","Sydney","18 Mar 2015"
"38","9.0","1","40","0","4.44","4","2","v New Zealand","Auckland","24 Mar 2015"
"39","8.0","1","38","1","4.75","4","1","v Bangladesh","Dhaka","10 Jul 2015"
"40","8.4","1","40","0","4.61","4","2","v Bangladesh","Dhaka","12 Jul 2015"
"41","6.1","1","37","1","6.00","4","2","v Bangladesh","Chittagong","15 Jul 2015"
"42","10.0","0","40","2","4.00","4","2","v New Zealand","Centurion","19 Aug 2015"
"43","10.0","1","42","1","4.20","5","2","v New Zealand","Potchefstroom","23 Aug 2015"
"44","10.0","0","36","2","3.60","5","2","v New Zealand","Durban","26 Aug 2015"
"45","10.0","0","57","2","5.70","6","2","v India","Kanpur","11 Oct 2015"
"46","10.0","1","42","2","4.20","5","1","v India","Indore","14 Oct 2015"
"47","10.0","0","51","1","5.10","5","2","v India","Rajkot","18 Oct 2015"
"48","9.0","0","58","0","6.44","5","1","v India","Chennai","22 Oct 2015"
"49","7.0","1","50","2","7.14","5","2","v India","Mumbai","25 Oct 2015"
