"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","10.0","0","47","1","4.70","5","1","v India","Karachi","2 Jul 2008"
"2","8.2","0","19","2","2.28","4","1","v Bangladesh","Karachi","4 Jul 2008"
"3","9.0","1","38","1","4.22","5","2","v West Indies","Abu Dhabi","14 Nov 2008"
"4","10.0","0","35","0","3.50","4","2","v West Indies","Abu Dhabi","16 Nov 2008"
"5","9.0","0","51","0","5.66","4","1","v Sri Lanka","Lahore","24 Jan 2009"
"6","10.0","1","19","2","1.90","5","1","v Australia","Dubai (DSC)","22 Apr 2009"
"7","7.0","0","37","1","5.28","5","2","v Australia","Dubai (DSC)","24 Apr 2009"
"8","9.0","0","42","0","4.66","6","1","v Australia","Abu Dhabi","27 Apr 2009"
"9","10.0","1","20","0","2.00","5","2","v Australia","Abu Dhabi","1 May 2009"
"10","10.0","0","40","1","4.00","4","1","v Australia","Abu Dhabi","3 May 2009"
"11","10.0","0","40","1","4.00","4","1","v Sri Lanka","Dambulla","30 Jul 2009"
"12","6.0","0","21","0","3.50","5","2","v Sri Lanka","Dambulla","1 Aug 2009"
"13","9.0","0","54","2","6.00","5","2","v Sri Lanka","Dambulla","3 Aug 2009"
"14","7.0","0","24","2","3.42","5","2","v Sri Lanka","Colombo (RPS)","7 Aug 2009"
"15","7.0","0","29","0","4.14","4","2","v Sri Lanka","Colombo (RPS)","9 Aug 2009"
"16","4.0","0","16","2","4.00","5","1","v West Indies","Johannesburg","23 Sep 2009"
"17","8.5","0","31","2","3.50","4","2","v India","Centurion","26 Sep 2009"
"18","10.0","1","31","2","3.10","5","2","v Australia","Centurion","30 Sep 2009"
"19","8.0","0","39","2","4.87","4","2","v New Zealand","Johannesburg","3 Oct 2009"
"20","7.2","0","18","2","2.45","5","2","v New Zealand","Abu Dhabi","3 Nov 2009"
"21","10.0","0","59","0","5.90","4","1","v New Zealand","Abu Dhabi","6 Nov 2009"
"22","10.0","0","33","4","3.30","4","1","v New Zealand","Abu Dhabi","9 Nov 2009"
"23","9.3","0","61","0","6.42","5","2","v Australia","Brisbane","22 Jan 2010"
"24","10.0","1","41","0","4.10","5","1","v Australia","Sydney","24 Jan 2010"
"25","10.0","0","41","1","4.10","5","1","v Australia","Adelaide","26 Jan 2010"
"26","10.0","0","55","2","5.50","5","1","v Australia","Perth","29 Jan 2010"
"27","10.0","0","56","3","5.60","4","2","v India","Dambulla","19 Jun 2010"
"28","9.0","0","58","4","6.44","5","1","v England","Chester-le-Street","10 Sep 2010"
"29","10.0","0","52","2","5.20","4","2","v England","Leeds","12 Sep 2010"
"30","9.0","0","42","1","4.66","4","2","v England","The Oval","17 Sep 2010"
"31","7.0","0","31","2","4.42","5","2","v England","Lord's","20 Sep 2010"
"32","8.0","0","50","0","6.25","5","1","v England","Southampton","22 Sep 2010"
"33","10.0","1","42","2","4.20","5","2","v South Africa","Abu Dhabi","29 Oct 2010"
"34","5.0","0","35","0","7.00","6","1","v South Africa","Abu Dhabi","31 Oct 2010"
"35","6.0","0","36","0","6.00","4","1","v South Africa","Dubai (DSC)","2 Nov 2010"
"36","8.0","0","31","1","3.87","5","2","v Canada","Colombo (RPS)","3 Mar 2011"
"37","8.0","1","18","2","2.25","5","1","v West Indies","Dhaka","23 Mar 2011"
"38","10.0","0","44","2","4.40","4","1","v India","Mohali","30 Mar 2011"
"39","10.0","2","24","1","2.40","4","1","v West Indies","Gros Islet","23 Apr 2011"
