"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","8.5","0","51","0","5.77","2","2","v India","Visakhapatnam","20 Oct 2010"
"2","9.0","0","27","4","3.00","4","1","v Sri Lanka","Brisbane","7 Nov 2010"
"3","6.0","0","33","2","5.50","2","2","v India","Melbourne","5 Feb 2012"
"4","9.5","0","50","2","5.08","2","2","v Sri Lanka","Perth","10 Feb 2012"
"5","8.0","0","49","0","6.12","2","2","v India","Adelaide","12 Feb 2012"
"6","4.0","0","32","0","8.00","2","2","v Sri Lanka","Sydney","17 Feb 2012"
"7","8.0","0","36","1","4.50","4","2","v India","Brisbane","19 Feb 2012"
"8","9.0","1","47","4","5.22","2","2","v Afghanistan","Sharjah","25 Aug 2012"
"9","10.0","2","42","5","4.20","2","1","v Pakistan","Sharjah","28 Aug 2012"
"10","7.5","0","43","0","5.48","2","2","v Pakistan","Abu Dhabi","31 Aug 2012"
"11","10.0","0","51","4","5.10","2","1","v Pakistan","Sharjah","3 Sep 2012"
"12","6.0","0","25","1","4.16","1","2","v Sri Lanka","Melbourne","11 Jan 2013"
"13","7.0","0","25","2","3.57","2","2","v Sri Lanka","Brisbane","18 Jan 2013"
"14","1.2","0","1","0","0.75","2","2","v Sri Lanka","Sydney","20 Jan 2013"
"15","9.0","0","48","0","5.33","2","2","v Sri Lanka","Hobart","23 Jan 2013"
"16","6.5","2","20","5","2.92","2","1","v West Indies","Perth","1 Feb 2013"
"17","8.0","1","32","5","4.00","2","2","v West Indies","Perth","3 Feb 2013"
"18","7.0","0","50","1","7.14","2","2","v West Indies","Canberra","6 Feb 2013"
"19","10.0","0","75","1","7.50","1","1","v England","Birmingham","8 Jun 2013"
"20","6.0","1","23","2","3.83","2","2","v Zimbabwe","Harare","25 Aug 2014"
"21","8.0","0","62","2","7.75","2","2","v South Africa","Harare","27 Aug 2014"
"22","10.0","3","41","2","4.10","1","2","v Zimbabwe","Harare","31 Aug 2014"
"23","8.0","1","47","0","5.87","4","2","v South Africa","Harare","2 Sep 2014"
"24","4.0","0","27","0","6.75","4","2","v South Africa","Harare","6 Sep 2014"
"25","10.0","1","33","1","3.30","1","2","v Pakistan","Abu Dhabi","12 Oct 2014"
"26","8.0","1","32","4","4.00","1","2","v South Africa","Canberra","19 Nov 2014"
"27","10.0","0","40","1","4.00","1","1","v South Africa","Melbourne","21 Nov 2014"
"28","10.0","1","60","0","6.00","2","1","v South Africa","Sydney","23 Nov 2014"
"29","8.5","0","42","4","4.75","1","1","v England","Sydney","16 Jan 2015"
"30","10.0","2","43","6","4.30","1","1","v India","Melbourne","18 Jan 2015"
"31","10.0","0","60","1","6.00","1","1","v England","Hobart","23 Jan 2015"
"32","4.0","0","11","1","2.75","1","1","v India","Sydney","26 Jan 2015"
"33","7.0","0","40","0","5.71","1","2","v England","Perth","1 Feb 2015"
"34","9.0","1","47","2","5.22","1","2","v England","Melbourne","14 Feb 2015"
"35","9.0","0","28","6","3.11","2","2","v New Zealand","Auckland","28 Feb 2015"
"36","6.0","0","18","2","3.00","1","2","v Afghanistan","Perth","4 Mar 2015"
"37","8.2","0","29","2","3.48","1","2","v Sri Lanka","Sydney","8 Mar 2015"
"38","4.4","1","14","4","3.00","1","1","v Scotland","Hobart","14 Mar 2015"
"39","10.0","1","40","2","4.00","1","1","v Pakistan","Adelaide","20 Mar 2015"
"40","8.5","0","28","2","3.16","1","2","v India","Sydney","26 Mar 2015"
"41","8.0","0","20","2","2.50","1","1","v New Zealand","Melbourne","29 Mar 2015"
"42","5.0","0","34","2","6.80","1","2","v Ireland","Belfast","27 Aug 2015"
"43","10.0","0","55","2","5.50","1","2","v England","Southampton","3 Sep 2015"
"44","7.0","0","35","1","5.00","1","2","v England","Lord's","5 Sep 2015"
"45","10.0","0","79","1","7.90","1","1","v England","Manchester","8 Sep 2015"
"46","9.0","1","44","1","4.88","1","1","v England","Manchester","13 Sep 2015"
