"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","10.0","1","68","3","6.80","1","1","v Asia XI","Bangalore","6 Jun 2007"
"2","10.0","1","48","2","4.80","2","1","v Asia XI","Chennai","9 Jun 2007"
"3","10.0","0","50","3","5.00","1","1","v Asia XI","Chennai","10 Jun 2007"
"4","10.0","1","33","1","3.30","3","1","v Zimbabwe","Bulawayo","22 Aug 2007"
"5","10.0","0","39","2","3.90","3","1","v Zimbabwe","Harare","25 Aug 2007"
"6","10.0","1","44","1","4.40","3","2","v Zimbabwe","Harare","26 Aug 2007"
"7","8.2","0","36","4","4.32","4","2","v West Indies","Cape Town","25 Jan 2008"
"8","9.0","0","49","1","5.44","4","1","v West Indies","Port Elizabeth","27 Jan 2008"
"9","10.0","0","60","2","6.00","4","1","v West Indies","Durban","1 Feb 2008"
"10","8.0","1","32","1","4.00","2","1","v Bangladesh","Dhaka","14 Mar 2008"
"11","10.0","1","51","0","5.10","3","1","v England","The Oval","29 Aug 2008"
"12","4.0","0","32","1","8.00","3","2","v England","Lord's","31 Aug 2008"
"13","TDNB","-","-","-","-","-","-","v England","Cardiff","3 Sep 2008"
"14","9.0","0","32","0","3.55","3","2","v Kenya","Bloemfontein","31 Oct 2008"
"15","10.0","0","44","2","4.40","4","2","v Bangladesh","Potchefstroom","7 Nov 2008"
"16","10.0","0","61","1","6.10","3","2","v Bangladesh","Benoni","9 Nov 2008"
"17","10.0","0","68","2","6.80","4","1","v Australia","Melbourne","16 Jan 2009"
"18","9.0","0","41","1","4.55","4","1","v Australia","Adelaide","26 Jan 2009"
"19","10.0","0","45","2","4.50","1","2","v Australia","Perth","30 Jan 2009"
"20","10.0","0","61","2","6.10","3","1","v Australia","Durban","3 Apr 2009"
"21","8.0","1","41","0","5.12","3","1","v Australia","Johannesburg","17 Apr 2009"
"22","9.0","1","39","3","4.33","3","2","v England","Cape Town","27 Nov 2009"
"23","6.2","1","19","0","3.00","3","2","v England","Port Elizabeth","29 Nov 2009"
"24","7.0","0","48","0","6.85","3","2","v India","Ahmedabad","27 Feb 2010"
"25","8.0","1","40","3","5.00","4","2","v West Indies","North Sound","22 May 2010"
"26","9.1","2","58","3","6.32","3","2","v West Indies","North Sound","24 May 2010"
"27","7.0","0","21","4","3.00","4","2","v West Indies","Roseau","28 May 2010"
"28","8.0","0","56","1","7.00","3","1","v West Indies","Roseau","30 May 2010"
"29","8.0","0","32","1","4.00","3","1","v Pakistan","Abu Dhabi","29 Oct 2010"
"30","10.0","0","39","0","3.90","3","2","v Pakistan","Abu Dhabi","31 Oct 2010"
"31","10.0","1","47","4","4.70","1","2","v Pakistan","Dubai (DSC)","2 Nov 2010"
"32","10.0","0","48","3","4.80","1","2","v Pakistan","Dubai (DSC)","5 Nov 2010"
"33","7.0","0","45","0","6.42","3","2","v Pakistan","Dubai (DSC)","8 Nov 2010"
"34","5.0","0","12","2","2.40","3","2","v India","Durban","12 Jan 2011"
"35","8.0","0","32","2","4.00","4","1","v India","Johannesburg","15 Jan 2011"
"36","10.0","0","28","3","2.80","4","2","v India","Cape Town","18 Jan 2011"
"37","6.0","1","13","1","2.16","3","2","v India","Port Elizabeth","21 Jan 2011"
"38","8.0","0","52","4","6.50","3","2","v India","Centurion","23 Jan 2011"
"39","8.0","0","35","0","4.37","3","1","v West Indies","Delhi","24 Feb 2011"
"40","5.0","0","18","0","3.60","2","2","v Netherlands","Mohali","3 Mar 2011"
"41","7.0","0","16","2","2.28","3","1","v England","Chennai","6 Mar 2011"
"42","7.0","0","59","1","8.42","2","1","v India","Nagpur","12 Mar 2011"
"43","5.2","0","33","3","6.18","2","2","v Ireland","Kolkata","15 Mar 2011"
"44","8.0","0","46","3","5.75","4","1","v New Zealand","Dhaka","25 Mar 2011"
"45","6.0","0","32","0","5.33","4","1","v Australia","Centurion","19 Oct 2011"
"46","10.0","2","22","4","2.20","3","2","v Australia","Port Elizabeth","23 Oct 2011"
"47","9.3","1","61","1","6.42","3","2","v Australia","Durban","28 Oct 2011"
"48","6.0","2","10","4","1.66","1","2","v Sri Lanka","Paarl","11 Jan 2012"
"49","9.0","1","39","2","4.33","3","1","v Sri Lanka","East London","14 Jan 2012"
"50","9.0","0","65","2","7.22","1","1","v Sri Lanka","Bloemfontein","17 Jan 2012"
"51","8.0","0","43","0","5.37","1","2","v Sri Lanka","Kimberley","20 Jan 2012"
"52","9.1","0","49","0","5.34","1","2","v Sri Lanka","Johannesburg","22 Jan 2012"
"53","9.0","0","49","2","5.44","2","1","v New Zealand","Wellington","25 Feb 2012"
"54","9.3","1","38","5","4.00","3","1","v New Zealand","Napier","29 Feb 2012"
"55","3.0","0","19","0","6.33","1","1","v England","Cardiff","24 Aug 2012"
"56","5.4","0","29","2","5.11","3","2","v England","Southampton","28 Aug 2012"
"57","10.0","1","41","1","4.10","3","2","v England","The Oval","31 Aug 2012"
"58","8.0","0","41","2","5.12","3","1","v England","Nottingham","5 Sep 2012"
"59","10.0","1","71","3","7.10","3","1","v New Zealand","Kimberley","22 Jan 2013"
"60","9.1","0","33","2","3.60","3","1","v Pakistan","Benoni","24 Mar 2013"
"61","6.5","0","27","0","3.95","1","1","v India","Cardiff","6 Jun 2013"
"62","10.0","2","34","2","3.40","1","1","v Sri Lanka","Colombo (RPS)","20 Jul 2013"
"63","10.0","0","34","3","3.40","2","1","v Sri Lanka","Colombo (RPS)","23 Jul 2013"
"64","8.0","1","29","0","3.62","1","2","v Sri Lanka","Pallekele","26 Jul 2013"
"65","10.0","1","62","1","6.20","1","2","v Sri Lanka","Pallekele","28 Jul 2013"
"66","10.0","0","78","1","7.80","1","1","v Sri Lanka","Colombo (RPS)","31 Jul 2013"
"67","9.3","3","23","2","2.42","1","2","v Pakistan","Sharjah","30 Oct 2013"
"68","10.0","0","38","3","3.80","1","1","v Pakistan","Dubai (DSC)","1 Nov 2013"
"69","9.0","1","35","2","3.88","1","2","v Pakistan","Abu Dhabi","6 Nov 2013"
"70","10.0","0","44","0","4.40","3","2","v Pakistan","Abu Dhabi","8 Nov 2013"
"71","10.0","0","39","3","3.90","3","1","v Pakistan","Cape Town","24 Nov 2013"
"72","8.0","1","29","1","3.62","3","2","v India","Johannesburg","5 Dec 2013"
"73","6.0","0","34","2","5.66","3","2","v India","Durban","8 Dec 2013"
"74","7.0","0","39","2","5.57","3","2","v Sri Lanka","Colombo (RPS)","6 Jul 2014"
"75","10.0","0","58","1","5.80","4","1","v Sri Lanka","Pallekele","9 Jul 2014"
"76","7.0","0","49","2","7.00","2","2","v Sri Lanka","Hambantota","12 Jul 2014"
"77","10.0","1","63","2","6.30","3","1","v Australia","Harare","27 Aug 2014"
"78","9.0","1","51","1","5.66","3","1","v Australia","Harare","2 Sep 2014"
"79","8.0","0","41","1","5.12","3","2","v Zimbabwe","Harare","4 Sep 2014"
"80","10.0","0","58","2","5.80","2","1","v Australia","Harare","6 Sep 2014"
"81","8.0","1","39","2","4.87","3","1","v New Zealand","Mount Maunganui","21 Oct 2014"
"82","9.0","1","44","1","4.88","3","2","v New Zealand","Mount Maunganui","24 Oct 2014"
"83","TDNB","-","-","-","-","-","-","v New Zealand","Hamilton","27 Oct 2014"
"84","10.0","1","56","1","5.60","3","1","v Australia","Perth","14 Nov 2014"
"85","8.0","0","21","5","2.62","1","1","v Australia","Perth","16 Nov 2014"
"86","10.0","0","84","2","8.40","1","1","v Australia","Canberra","19 Nov 2014"
"87","10.0","0","69","2","6.90","1","2","v Australia","Sydney","23 Nov 2014"
