"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","10.0","2","39","1","3.90","2","2","v U.A.E.","Dambulla","17 Jul 2004"
"2","9.0","1","24","1","2.66","2","1","v Bangladesh","Colombo (RPS)","23 Jul 2004"
"3","10.0","0","56","2","5.60","2","1","v India","Colombo (RPS)","27 Jul 2004"
"4","5.0","0","40","0","8.00","1","1","v South Africa","Dambulla","28 Aug 2004"
"5","6.0","0","44","0","7.33","2","2","v New Zealand","Queenstown","31 Dec 2005"
"6","10.0","1","38","1","3.80","1","1","v Pakistan","Colombo (RPS)","17 Mar 2006"
"7","9.0","1","22","2","2.44","1","2","v Pakistan","Colombo (RPS)","19 Mar 2006"
"8","7.0","0","34","0","4.85","1","2","v Pakistan","Colombo (SSC)","22 Mar 2006"
"9","9.0","2","26","3","2.88","2","2","v England","Lord's","17 Jun 2006"
"10","8.0","0","45","2","5.62","2","2","v England","The Oval","20 Jun 2006"
"11","10.0","0","50","2","5.00","2","1","v England","Chester-le-Street","24 Jun 2006"
"12","9.4","0","63","2","6.51","2","2","v England","Manchester","28 Jun 2006"
"13","10.0","0","44","4","4.40","2","1","v England","Leeds","1 Jul 2006"
"14","8.0","1","48","0","6.00","1","2","v Netherlands","Amstelveen","4 Jul 2006"
"15","1.4","0","7","0","4.20","2","1","v India","Colombo (SSC)","18 Aug 2006"
"16","10.0","1","35","0","3.50","2","2","v Bangladesh","Mohali","7 Oct 2006"
"17","9.3","0","25","3","2.63","1","2","v Zimbabwe","Ahmedabad","10 Oct 2006"
"18","5.4","0","26","2","4.58","2","1","v West Indies","Mumbai (BS)","14 Oct 2006"
"19","7.0","1","49","0","7.00","2","2","v Pakistan","Jaipur","17 Oct 2006"
"20","9.2","1","22","2","2.35","2","1","v New Zealand","Mumbai (BS)","20 Oct 2006"
"21","9.0","0","53","4","5.88","2","1","v South Africa","Ahmedabad","24 Oct 2006"
"22","10.0","0","66","2","6.60","2","1","v New Zealand","Napier","28 Dec 2006"
"23","10.0","0","53","1","5.30","2","2","v New Zealand","Queenstown","31 Dec 2006"
"24","8.0","3","14","3","1.75","2","2","v New Zealand","Auckland","6 Jan 2007"
"25","TDNB","-","-","-","-","-","-","v New Zealand","Hamilton","9 Jan 2007"
"26","TDNB","-","-","-","-","-","-","v India","Kolkata","8 Feb 2007"
"27","10.0","0","75","2","7.50","1","2","v India","Rajkot","11 Feb 2007"
"28","9.0","1","54","0","6.00","2","2","v India","Visakhapatnam","17 Feb 2007"
"29","5.0","2","10","3","2.00","2","2","v Bermuda","Port of Spain","15 Mar 2007"
"30","6.0","0","27","3","4.50","2","2","v Bangladesh","Port of Spain","21 Mar 2007"
"31","8.0","0","39","1","4.87","2","2","v India","Port of Spain","23 Mar 2007"
"32","9.2","0","54","4","5.78","2","2","v South Africa","Providence","28 Mar 2007"
"33","5.0","0","34","2","6.80","2","2","v West Indies","Providence","1 Apr 2007"
"34","10.0","1","50","2","5.00","2","2","v England","North Sound","4 Apr 2007"
"35","7.0","2","21","1","3.00","2","2","v New Zealand","Kingston","24 Apr 2007"
"36","8.0","1","49","2","6.12","2","1","v Australia","Bridgetown","28 Apr 2007"
"37","9.0","1","53","0","5.88","2","2","v Pakistan","Abu Dhabi","18 May 2007"
"38","8.0","0","33","0","4.12","2","2","v Pakistan","Abu Dhabi","22 May 2007"
"39","7.0","0","17","1","2.42","2","2","v Bangladesh","Colombo (PSS)","20 Jul 2007"
"40","9.0","2","22","3","2.44","2","1","v Bangladesh","Colombo (RPS)","23 Jul 2007"
"41","6.0","0","32","1","5.33","2","2","v England","Dambulla","1 Oct 2007"
"42","10.0","1","58","0","5.80","2","1","v England","Dambulla","4 Oct 2007"
"43","7.5","1","39","1","4.97","4","2","v England","Dambulla","7 Oct 2007"
"44","9.0","1","39","2","4.33","2","2","v England","Colombo (RPS)","10 Oct 2007"
"45","6.1","1","24","2","3.89","2","2","v England","Colombo (RPS)","13 Oct 2007"
"46","10.0","1","56","1","5.60","2","1","v India","Brisbane","5 Feb 2008"
"47","10.0","0","55","1","5.50","2","1","v Australia","Sydney","8 Feb 2008"
"48","6.0","0","45","1","7.50","2","1","v India","Canberra","12 Feb 2008"
"49","9.4","1","47","4","4.86","2","1","v Australia","Perth","15 Feb 2008"
"50","10.0","1","37","2","3.70","2","2","v India","Adelaide","19 Feb 2008"
"51","10.0","1","44","1","4.40","2","1","v Australia","Melbourne","22 Feb 2008"
"52","6.0","0","36","1","6.00","2","2","v India","Hobart","26 Feb 2008"
"53","9.0","1","48","1","5.33","1","2","v Australia","Melbourne","29 Feb 2008"
"54","8.4","0","50","1","5.76","2","2","v Pakistan","Dambulla","30 Jul 2009"
"55","10.0","0","37","0","3.70","2","1","v Pakistan","Dambulla","1 Aug 2009"
"56","10.0","0","79","0","7.90","1","1","v Pakistan","Colombo (RPS)","7 Aug 2009"
"57","6.1","0","28","4","4.54","4","2","v New Zealand","Colombo (RPS)","8 Sep 2009"
"58","8.0","0","33","1","4.12","3","2","v India","Colombo (RPS)","12 Sep 2009"
"59","10.0","0","81","1","8.10","3","1","v India","Colombo (RPS)","14 Sep 2009"
