"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","10","14","12","2","0","83.33","1","caught","1","v New Zealand","Auckland","16 Feb 2006"
"2","5","6","8","1","0","62.50","1","bowled","1","v England","The Oval","28 Jun 2007"
"3","61","55","37","8","1","164.86","1","caught","1","v England","The Oval","29 Jun 2007"
"4","117","75","57","7","10","205.26","1","caught","1","v South Africa","Johannesburg","11 Sep 2007"
"5","0","2","3","0","0","0.00","1","caught","1","v Bangladesh","Johannesburg","13 Sep 2007"
"6","67","60","41","5","5","163.41","1","caught","2","v New Zealand","Auckland","26 Dec 2008"
"7","1","5","4","0","0","25.00","1","caught","2","v New Zealand","Hamilton","28 Dec 2008"
"8","88","75","50","6","6","176.00","1","caught","2","v Australia","The Oval","6 Jun 2009"
"9","22","33","28","4","0","78.57","1","caught","2","v India","Lord's","12 Jun 2009"
"10","5","13","8","0","0","62.50","1","caught","2","v South Africa","The Oval","13 Jun 2009"
"11","15","9","8","3","0","187.50","1","bowled","2","v England","The Oval","15 Jun 2009"
"12","63*","89","50","8","2","126.00","1","not out","2","v Sri Lanka","The Oval","19 Jun 2009"
"13","5","7","5","1","0","100.00","1","bowled","2","v Australia","Hobart","21 Feb 2010"
"14","12","15","14","1","1","85.71","1","caught","1","v Australia","Sydney","23 Feb 2010"
"15","25","-","12","2","2","208.33","1","caught","2","v England","Providence","3 May 2010"
"16","5","13","4","1","0","125.00","1","caught","2","v Sri Lanka","Bridgetown","7 May 2010"
"17","98","88","66","5","7","148.48","1","run out","1","v India","Bridgetown","9 May 2010"
"18","4","1","2","1","0","200.00","1","bowled","1","v Australia","Gros Islet","11 May 2010"
"19","14","24","16","2","0","87.50","1","caught","2","v South Africa","North Sound","19 May 2010"
"20","0","7","2","0","0","0.00","1","lbw","2","v South Africa","North Sound","20 May 2010"
"21","2","13","8","0","0","25.00","2","caught","1","v England","Nottingham","24 Jun 2012"
"22","85*","87","52","7","5","163.46","2","not out","1","v New Zealand","Lauderhill","30 Jun 2012"
"23","53","64","39","3","4","135.89","2","bowled","1","v New Zealand","Lauderhill","1 Jul 2012"
"24","54","47","33","5","4","163.63","2","caught","1","v Australia","Colombo (RPS)","22 Sep 2012"
"25","TDNB","-","-","-","-","-","-","-","-","v Ireland","Colombo (RPS)","24 Sep 2012"
"26","58","46","35","6","4","165.71","2","caught","1","v England","Pallekele","27 Sep 2012"
"27","2","26","9","0","0","22.22","2","caught","1","v Sri Lanka","Pallekele","29 Sep 2012"
"28","30","31","14","3","2","214.28","2","caught","1","v New Zealand","Pallekele","1 Oct 2012"
"29","75*","98","41","5","6","182.92","2","not out","1","v Australia","Colombo (RPS)","5 Oct 2012"
"30","3","26","16","0","0","18.75","2","lbw","1","v Sri Lanka","Colombo (RPS)","7 Oct 2012"
"31","6","11","7","1","0","85.71","2","bowled","1","v Bangladesh","Dhaka","10 Dec 2012"
"32","8","8","7","0","1","114.28","1","caught","1","v Australia","Brisbane","13 Feb 2013"
"33","5","10","6","1","0","83.33","2","lbw","1","v Pakistan","Kingstown","27 Jul 2013"
"34","1","9","3","0","0","33.33","2","caught","2","v Pakistan","Kingstown","28 Jul 2013"
"35","18","-","19","3","0","94.73","2","caught","1","v Ireland","Kingston","19 Feb 2014"
"36","43","47","35","5","2","122.85","2","lbw","1","v England","Bridgetown","9 Mar 2014"
"37","36","40","30","1","4","120.00","2","bowled","2","v England","Bridgetown","11 Mar 2014"
"38","34","49","33","1","2","103.03","2","run out","1","v India","Dhaka","23 Mar 2014"
"39","48","74","48","3","2","100.00","2","caught","1","v Bangladesh","Dhaka","25 Mar 2014"
"40","53","52","35","6","2","151.42","2","caught","2","v Australia","Dhaka","28 Mar 2014"
"41","5","10","4","1","0","125.00","2","stumped","1","v Pakistan","Dhaka","1 Apr 2014"
"42","3","19","13","0","0","23.07","2","bowled","2","v Sri Lanka","Dhaka","3 Apr 2014"
"43","TDNB","-","-","-","-","-","-","-","-","v Bangladesh","Basseterre","27 Aug 2014"
"44","77","44","31","5","8","248.38","2","caught","2","v South Africa","Cape Town","9 Jan 2015"
"45","90","63","41","9","7","219.51","2","caught","2","v South Africa","Johannesburg","11 Jan 2015"
