"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","36","29","24","5","1","150.00","1","caught","2","v Australia","Auckland","17 Feb 2005"
"2","17*","10","9","1","1","188.88","7","not out","2","v South Africa","Johannesburg","21 Oct 2005"
"3","4","8","10","0","0","40.00","8","bowled","2","v West Indies","Auckland","16 Feb 2006"
"4","39","33","22","2","4","177.27","1","caught","1","v Sri Lanka","Wellington","22 Dec 2006"
"5","28","40","28","6","0","100.00","1","run out","2","v Sri Lanka","Auckland","26 Dec 2006"
"6","16*","33","13","1","1","123.07","2","not out","2","v Kenya","Durban","12 Sep 2007"
"7","10","16","12","0","0","83.33","2","caught","1","v Sri Lanka","Johannesburg","15 Sep 2007"
"8","45","44","31","9","0","145.16","2","caught","1","v India","Johannesburg","16 Sep 2007"
"9","4","4","5","1","0","80.00","2","caught","1","v England","Durban","18 Sep 2007"
"10","38","34","26","3","2","146.15","2","caught","1","v South Africa","Durban","19 Sep 2007"
"11","26","39","27","2","0","96.29","2","lbw","1","v Pakistan","Cape Town","22 Sep 2007"
"12","9","9","8","0","1","112.50","2","caught","1","v South Africa","Johannesburg","23 Nov 2007"
"13","13","23","15","0","1","86.66","2","caught","2","v Australia","Perth","11 Dec 2007"
"14","9","10","7","0","1","128.57","2","caught","2","v England","Auckland","5 Feb 2008"
"15","5","15","9","0","0","55.55","2","bowled","2","v England","Christchurch","7 Feb 2008"
"16","24","45","23","1","1","104.34","2","bowled","1","v England","Manchester","13 Jun 2008"
"17","14","13","10","3","0","140.00","2","caught","1","v West Indies","Auckland","26 Dec 2008"
"18","59","49","34","6","4","173.52","2","caught","1","v West Indies","Hamilton","28 Dec 2008"
"19","61","71","47","5","2","129.78","1","caught","2","v Australia","Sydney","15 Feb 2009"
"20","56*","88","49","2","3","114.28","2","not out","2","v India","Christchurch","25 Feb 2009"
"21","69*","94","55","8","1","125.45","2","not out","2","v India","Wellington","27 Feb 2009"
"22","18","18","7","4","0","257.14","1","run out","2","v Scotland","The Oval","6 Jun 2009"
"23","57","74","54","6","0","105.55","1","stumped","2","v South Africa","Lord's","9 Jun 2009"
"24","10","21","14","0","1","71.42","1","caught","1","v Ireland","Nottingham","11 Jun 2009"
"25","12","8","6","2","0","200.00","1","caught","1","v Pakistan","The Oval","13 Jun 2009"
"26","10","11","12","2","0","83.33","1","caught","2","v Sri Lanka","Nottingham","16 Jun 2009"
"27","9","11","9","0","1","100.00","1","run out","1","v Sri Lanka","Colombo (RPS)","2 Sep 2009"
"28","49","44","34","4","2","144.11","1","caught","1","v Sri Lanka","Colombo (RPS)","4 Sep 2009"
"29","19","14","13","3","0","146.15","1","caught","2","v Pakistan","Dubai (DSC)","12 Nov 2009"
"30","47","77","41","3","1","114.63","1","caught","2","v Pakistan","Dubai (DSC)","13 Nov 2009"
"31","56*","35","27","7","2","207.40","1","not out","2","v Bangladesh","Hamilton","3 Feb 2010"
"32","2","2","4","0","0","50.00","1","caught","1","v Australia","Wellington","26 Feb 2010"
"33","116*","87","56","12","8","207.14","1","not out","1","v Australia","Christchurch","28 Feb 2010"
"34","0","1","4","0","0","0.00","1","caught","2","v Sri Lanka","Providence","30 Apr 2010"
"35","22*","28","26","2","0","84.61","1","not out","2","v Zimbabwe","Providence","4 May 2010"
"36","6","3","5","1","0","120.00","1","caught","2","v South Africa","Bridgetown","6 May 2010"
