"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","0","1","2","0","0","0.00","1","lbw","2","v India","Manchester","31 Aug 2011"
"2","62*","62","48","8","1","129.16","1","not out","2","v West Indies","The Oval","23 Sep 2011"
"3","2","9","9","0","0","22.22","1","bowled","2","v West Indies","The Oval","25 Sep 2011"
"4","11","24","19","0","0","57.89","1","caught","2","v India","Kolkata","29 Oct 2011"
"5","99","84","68","6","4","145.58","2","bowled","2","v West Indies","Nottingham","24 Jun 2012"
"6","11","15","6","2","0","183.33","2","run out","1","v South Africa","Chester-le-Street","8 Sep 2012"
"7","11*","21","8","0","1","137.50","2","not out","2","v South Africa","Manchester","10 Sep 2012"
"8","31","39","27","5","0","114.81","2","run out","1","v Afghanistan","Colombo (RPS)","21 Sep 2012"
"9","0","4","2","0","0","0.00","2","bowled","2","v India","Colombo (RPS)","23 Sep 2012"
"10","68","80","51","5","2","133.33","2","stumped","2","v West Indies","Pallekele","27 Sep 2012"
"11","22","26","15","3","0","146.66","2","bowled","2","v New Zealand","Pallekele","29 Sep 2012"
"12","3","15","5","0","0","60.00","2","lbw","2","v Sri Lanka","Pallekele","1 Oct 2012"
"13","56","52","35","7","2","160.00","2","bowled","1","v India","Pune","20 Dec 2012"
"14","42","74","33","4","1","127.27","2","caught","2","v India","Mumbai","22 Dec 2012"
"15","21","14","16","2","1","131.25","2","stumped","1","v New Zealand","Auckland","9 Feb 2013"
"16","5","6","4","1","0","125.00","2","bowled","2","v New Zealand","Hamilton","12 Feb 2013"
"17","80*","50","42","9","4","190.47","2","not out","2","v New Zealand","Wellington","15 Feb 2013"
"18","39","43","29","5","1","134.48","2","caught","2","v New Zealand","The Oval","25 Jun 2013"
"19","0*","2","0","0","0","-","2","not out","1","v New Zealand","The Oval","27 Jun 2013"
"20","8","16","9","1","0","88.88","2","caught","2","v Australia","Southampton","29 Aug 2013"
"21","94","80","61","11","2","154.09","2","caught","1","v Australia","Chester-le-Street","31 Aug 2013"
"22","22","21","12","5","0","183.33","1","lbw","2","v Australia","Hobart","29 Jan 2014"
"23","16","24","13","3","0","123.07","1","caught","1","v Australia","Melbourne","31 Jan 2014"
"24","6","16","8","1","0","75.00","2","caught","2","v Australia","Sydney","2 Feb 2014"
"25","3","8","7","0","0","42.85","2","stumped","2","v West Indies","Bridgetown","9 Mar 2014"
"26","40","59","36","1","2","111.11","2","caught","1","v West Indies","Bridgetown","11 Mar 2014"
"27","38","54","31","4","1","122.58","2","caught","1","v West Indies","Bridgetown","13 Mar 2014"
"28","0","1","2","0","0","0.00","2","caught","1","v New Zealand","Chittagong","22 Mar 2014"
"29","116*","97","64","11","6","181.25","2","not out","2","v Sri Lanka","Chittagong","27 Mar 2014"
"30","38","35","22","6","1","172.72","1","caught","2","v South Africa","Chittagong","29 Mar 2014"
"31","12","17","17","2","0","70.58","1","bowled","2","v Netherlands","Chittagong","31 Mar 2014"
"32","66","77","41","7","2","160.97","2","bowled","2","v Sri Lanka","The Oval","20 May 2014"
"33","40","39","25","3","3","160.00","2","caught","1","v India","Birmingham","7 Sep 2014"
"34","27","31","23","2","1","117.39","2","caught","1","v New Zealand","Manchester","23 Jun 2015"
"35","3","16","7","0","0","42.85","2","bowled","1","v Australia","Cardiff","31 Aug 2015"
