"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","6","10","8","0","0","75.00","4","caught","1","v Netherlands","Lord's","5 Jun 2009"
"2","85*","54","45","7","5","188.88","5","not out","1","v South Africa","Johannesburg","13 Nov 2009"
"3","10","11","7","2","0","142.85","5","bowled","2","v South Africa","Centurion","15 Nov 2009"
"4","67*","61","51","7","2","131.37","5","not out","2","v Pakistan","Dubai (DSC)","19 Feb 2010"
"5","9","10","6","0","1","150.00","4","caught","1","v Pakistan","Dubai (DSC)","20 Feb 2010"
"6","55","-","35","3","3","157.14","5","caught","1","v West Indies","Providence","3 May 2010"
"7","45","53","37","5","0","121.62","5","caught","1","v Ireland","Providence","4 May 2010"
"8","5","8","7","1","0","71.42","5","bowled","2","v Pakistan","Bridgetown","6 May 2010"
"9","21","20","14","3","0","150.00","5","caught","1","v South Africa","Bridgetown","8 May 2010"
"10","40","41","34","4","1","117.64","5","caught","2","v New Zealand","Gros Islet","10 May 2010"
"11","2*","6","2","0","0","100.00","5","not out","2","v Sri Lanka","Gros Islet","13 May 2010"
"12","15*","11","13","0","1","115.38","5","not out","2","v Australia","Bridgetown","16 May 2010"
"13","38*","33","24","6","0","158.33","5","not out","2","v Pakistan","Cardiff","5 Sep 2010"
"14","18*","14","14","3","0","128.57","5","not out","2","v Pakistan","Cardiff","7 Sep 2010"
"15","43","40","33","5","1","130.30","5","caught","2","v Australia","Adelaide","12 Jan 2011"
"16","14","28","21","1","0","66.66","5","caught","2","v Australia","Melbourne","14 Jan 2011"
"17","47","38","32","4","3","146.87","4","caught","1","v Sri Lanka","Bristol","25 Jun 2011"
"18","49","39","27","7","1","181.48","4","caught","2","v India","Manchester","31 Aug 2011"
"19","14","17","16","1","0","87.50","4","bowled","2","v Pakistan","Dubai (DSC)","23 Feb 2012"
"20","9","7","7","2","0","128.57","4","lbw","1","v Pakistan","Dubai (DSC)","25 Feb 2012"
"21","9","15","11","0","0","81.81","4","run out","1","v Pakistan","Abu Dhabi","27 Feb 2012"
"22","2*","5","1","0","0","200.00","4","not out","2","v West Indies","Nottingham","24 Jun 2012"
"23","10","17","11","1","0","90.90","4","bowled","1","v South Africa","Chester-le-Street","8 Sep 2012"
"24","0*","0","0","0","0","-","4","not out","2","v South Africa","Manchester","10 Sep 2012"
"25","5","14","9","0","0","55.55","4","caught","1","v South Africa","Birmingham","12 Sep 2012"
"26","27","31","23","1","1","117.39","4","caught","1","v Afghanistan","Colombo (RPS)","21 Sep 2012"
"27","2","12","6","0","0","33.33","4","bowled","2","v India","Colombo (RPS)","23 Sep 2012"
"28","71*","46","36","4","5","197.22","5","not out","2","v West Indies","Pallekele","27 Sep 2012"
"29","30","38","31","1","1","96.77","4","caught","2","v New Zealand","Pallekele","29 Sep 2012"
"30","10","27","15","1","0","66.66","5","lbw","2","v Sri Lanka","Pallekele","1 Oct 2012"
"31","5","9","9","0","0","55.55","4","caught","1","v India","Pune","20 Dec 2012"
"32","49*","51","26","5","2","188.46","4","not out","2","v India","Mumbai","22 Dec 2012"
"33","46","32","26","4","3","176.92","4","caught","1","v New Zealand","Auckland","9 Feb 2013"
"34","13","24","22","2","0","59.09","5","caught","2","v New Zealand","Hamilton","12 Feb 2013"
"35","DNB","-","-","-","-","-","-","-","2","v New Zealand","Wellington","15 Feb 2013"
"36","7","17","10","0","0","70.00","4","caught","2","v New Zealand","The Oval","25 Jun 2013"
"37","0","11","3","0","0","0.00","4","caught","2","v Australia","Southampton","29 Aug 2013"
"38","20","15","11","0","2","181.81","4","caught","1","v Australia","Chester-le-Street","31 Aug 2013"
"39","4","7","4","1","0","100.00","5","bowled","2","v Australia","Hobart","29 Jan 2014"
"40","6","5","3","1","0","200.00","5","run out","1","v Australia","Melbourne","31 Jan 2014"
"41","34","31","20","2","2","170.00","5","caught","2","v Australia","Sydney","2 Feb 2014"
"42","19","31","18","4","0","105.55","4","caught","2","v West Indies","Bridgetown","9 Mar 2014"
"43","3","5","7","0","0","42.85","4","caught","1","v West Indies","Bridgetown","11 Mar 2014"
"44","18","18","17","1","1","105.88","3","caught","1","v West Indies","Bridgetown","13 Mar 2014"
"45","12","22","15","1","0","80.00","4","caught","1","v New Zealand","Chittagong","22 Mar 2014"
"46","57","73","38","7","2","150.00","4","caught","2","v Sri Lanka","Chittagong","27 Mar 2014"
"47","14","26","14","1","0","100.00","4","caught","2","v South Africa","Chittagong","29 Mar 2014"
"48","6","6","8","1","0","75.00","4","caught","2","v Netherlands","Chittagong","31 Mar 2014"
"49","5","15","11","0","0","45.45","5","caught","2","v Sri Lanka","The Oval","20 May 2014"
"50","71","36","31","3","7","229.03","5","caught","1","v India","Birmingham","7 Sep 2014"
"51","4","12","6","0","0","66.66","5","caught","1","v New Zealand","Manchester","23 Jun 2015"
"52","74","50","39","3","7","189.74","4","caught","1","v Australia","Cardiff","31 Aug 2015"
