"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","4","4","3","0","0","133.33","3","lbw","2","v England","Chester-le-Street","8 Sep 2012"
"2","8","15","6","1","0","133.33","3","caught","2","v England","Birmingham","12 Sep 2012"
"3","13","29","11","0","0","118.18","3","caught","1","v Sri Lanka","Hambantota","22 Sep 2012"
"4","65","40","38","6","2","171.05","4","caught","2","v India","Colombo (RPS)","2 Oct 2012"
"5","38*","45","32","6","0","118.75","3","not out","2","v New Zealand","Durban","21 Dec 2012"
"6","63","68","43","8","1","146.51","3","caught","1","v New Zealand","East London","23 Dec 2012"
"7","1","5","9","0","0","11.11","2","bowled","1","v New Zealand","Port Elizabeth","26 Dec 2012"
"8","6","12","4","0","0","150.00","3","caught","2","v Pakistan","Centurion","3 Mar 2013"
"9","8","17","11","1","0","72.72","3","bowled","1","v Sri Lanka","Colombo (RPS)","2 Aug 2013"
"10","12","24","15","0","1","80.00","3","bowled","1","v Sri Lanka","Hambantota","4 Aug 2013"
"11","85","83","65","10","3","130.76","3","bowled","1","v Sri Lanka","Hambantota","6 Aug 2013"
"12","37*","41","40","4","1","92.50","3","not out","2","v Pakistan","Dubai (DSC)","13 Nov 2013"
"13","58*","56","48","1","3","120.83","3","not out","1","v Pakistan","Dubai (DSC)","15 Nov 2013"
"14","22","40","22","1","0","100.00","3","caught","1","v Pakistan","Johannesburg","20 Nov 2013"
"15","6","9","10","0","0","60.00","3","caught","2","v Pakistan","Cape Town","22 Nov 2013"
"16","27*","28","13","2","2","207.69","3","not out","1","v Australia","Durban","12 Mar 2014"
"17","5","6","6","1","0","83.33","3","caught","1","v Australia","Centurion","14 Mar 2014"
"18","13","9","8","2","0","162.50","3","caught","1","v New Zealand","Chittagong","24 Mar 2014"
"19","24","36","14","3","1","171.42","3","caught","1","v Netherlands","Chittagong","27 Mar 2014"
"20","58","53","41","5","2","141.46","3","bowled","1","v India","Dhaka","4 Apr 2014"
"21","38","25","20","5","2","190.00","3","caught","1","v West Indies","Cape Town","9 Jan 2015"
"22","119","99","56","11","5","212.50","3","caught","1","v West Indies","Johannesburg","11 Jan 2015"
"23","79*","88","61","8","0","129.50","3","not out","1","v Bangladesh","Dhaka","5 Jul 2015"
"24","16","26","17","1","0","94.11","4","caught","1","v Bangladesh","Dhaka","7 Jul 2015"
